element_idx,keywords,summarized_text
5,"encoder, bidirectional, transformers, representations",BERT is designed to pretrain deep bidirectional representations from unlabeled text . The pre-trained BERT model can be finetuned with just one additional output layer to create state-of-the-art models .
6,"multinli, accuracy, acc, bert","BERT obtains state-of-the-art results on eleven natural language processing tasks . It pushs the GLUE score to 80.5% , MultiNLI accuracy to 86.7% ."
8,"tasks, inference, token-level, natural, language, processing",Language model pre-training has been shown to be effective for improving many natural language processing tasks . These include natural language inference and paraphrasing . models are required to produce fine-grained output at token level .
9,"applying, task-specific, architecture, fine-tuning, pre-training","feature-based approach, such as ELMo , uses task-specific architectures that include pre-trained representations as additional features . The fine-tuning approach introduces minimal tasks-specific parameters and is trained on downstream tasks by simply fine tuning all pretrained parameters ."
10,"tasks, openai, token-level, gpt, fine-tuning","the major limitation is that standard language models are unidirectional . This limits the choice of architectures that can be used during pre-training . For example, in OpenAI GPT, the authors use a left-toright architecture ."
11,"transformers, bert, from, masked, representations, model, encoder, language, bidirectional",BERT: Bidirectional Encoder Representations from Transformers . The objective is to predict the original vocabulary id of the masked language model .
13,"right, mlm, word, model, language, left-to-, transformer, bidirectional","the MLM objective enables the representation to fuse the left and the right context . We also use a ""next sentence prediction"" task that jointly pretrains text-pair representations ."
14,"of, bert, state, representations, the, art, bidirectional",BERT is the first finetuning based representation model that achieves state-of-the-art performance on a large suite of sentence-level and token-level tasks . The code and pre-trained models are available at https :/ / github  com/ googl
18,"nlp, guage, pre-trained, embedding, left-to-right, lan-, word, modeling",Pre-trained word embeddings are an integral part of modern NLP systems . Left-to-right language modeling objectives are used to discriminate correct from incorrect words in left and right context .
19,"embeddings, coarser, representations, granularities, sentence","These approaches have been generalized to coarser granularities . To train sentence representations, prior work has used objectives to rank candidate next sentences ."
20,"contextual, embedding, elmo, word, traditional","Melamud et al. proposed learning contextual representations through a task to predict a single word from both left and right context using LSTMs . Similar to ELMo, their model is feature-based and not deeply bidirectional ."
23,"openai, gpt",OpenAI GPT achieved previously state-of-the-art results on many sentencelevel tasks from the GLUE benchmark . The advantage of these approaches is that few parameters need to be learned from scratch .
28,"genet, translation, large, datasets, ima-, machine",Computer vision research has demonstrated the importance of transfer learning from large pre-trained models . An effective recipe is to fine-tune models with ImageNet . There has also been work showing effective transfer from supervised tasks .
30,"fine-tuning, bert, model","During pre-training, the model is trained on unlabeled data over different tasks . For finetuning, the BERT model is first initialized with the pre-trained parameters . Each downstream task has separate fine-tuned models ."
33,"transformer, model, bert, architecture",Model Architecture BERT's model architecture is a multi-layer bidirectional Transformer encoder based on the original implementation described in Vaswani et al. We will omit an exhaustive background description of the model architecture .
39,"token, bert, sequence, representation, input","Input/Output Representations To make BERT handle a variety of down-stream tasks, our input representation is able to unambiguously represent both a single sentence and a pair of sentences in one token sequence . A ""sentence"" refers to the input token sequence to BERT, which may be"
40,"embeddings, token, cls, special, classification, wordpiece","We use WordPiece embeddings with a 30,000 token vocabulary . The first token of every sequence is always a special classification token ."
44,"conditioning, model, right-to-left, language, bidirectional","Masked LM Intuitively, it is reasonable to believe that a deep bidirectional model is strictly more powerful than either a left-to-right model . standard conditional language models can only be trained left to right or right-to left . the model could trivially predict the target word in a"
46,"cloze, task, wordpiece, tokens","In order to train a bidirectional representation, we simply mask some percentage of the input tokens at random, and then predict those masked tokens . In all of our experiments, we mask 15% of all WordPiece tokens in each sequence at random ."
47,"bidirec-, fine-tuning, tional, pre-training","To mitigate this, we do not always replace ""masked"" words with the actual token . The training data generator chooses 15% of the token positions at random . Ti will be used to predict the original token with cross entropy loss ."
