element_idx,keywords,summarized_text
3,"neural, network, convolutional, regularization, method","We trained a large, deep convolutional neural network to classify the 1.2 million high-resolution images in the ImageNet LSVRC-2010 contest into 1000 different classes . On the test data, we achieved top-1 and top-5 error rates of 37.5% and 17.0% which is considerably better than the previous state"
5,"larger, transformations, mnist, label-preserving, datasets","Current approaches to object recognition make essential use of machine learning methods . To improve their performance, we can collect larger datasets, learn more powerful models, and use better techniques for preventing overfitting . For example, the currentbest error rate on the MNIST digit-recognition task approaches human performance ."
6,"imagenet, networks, recognition, task, image",Convolutional neural networks constitute one such class of models . Their capacity can be controlled by varying their depth and breadth . So our model should also have lots of prior knowledge to compensate for all the data we don't have .
8,"imagenet, sc, cnns, scale, large","current GPUs, paired with a highly-optimized implementation of 2D convolution, are powerful enough to facilitate the training of interestingly-large CNNs . Recent datasets such as ImageNet contain enough labeled examples to train such models ."
9,"networks, overfitting, neural, ilsvrc-2012, ilsvrc, convolutional",we trained one of the largest convolutional neural networks to date on the subsets of ImageNet . Our network contains a number of new and unusual features which improve its performance and reduce its training time . The size of our network made overfitting a significant problem .
12,"imagenet, recogni, challenge, large-scale, recognition, visual","ImageNet is a dataset of over 15 million high-resolution images belonging to roughly 22,000 categories . The images were collected from the web and labeled by human labelers using Amazon's Mechanical Turk crowd-sourcing tool ."
13,"test, label, ilsvrc, dataset, set, image","ILSVRC-2010 is the only version for which the test set labels are available . On ImageNet, itis customary to report two error rates: top-1 and top-5, where the top-5 error rate is the fraction of test images ."
14,"variable-resolution, rectangular, imagenet, image","ImageNet consists of variable-resolution images, while our system requires a constant input dimensionality . Given a rectangular image, we first rescaled the image such that the shorter side was of length 256, and then cropped out the central 256 x 256 patch from the resulting image "
20,"rectified, saturation, linear, network, units","Normal way to model a neuron's output f as a function of its input x is with f = tanh . In terms of training time with gradient descent, these saturating nonlinearities are much slower than the non-saturated nonlinearyity f= max"
21,"cnn, model, large, dataset, models","We are not the first to consider alternatives to traditional neuron models in CNNs . For example, Jarrett et al. claim that the nonlinearity f = |tanh| works particularly well with their type of contrast normalization followed by local average pooling on the Caltech-101 dataset "
24,"cifar-10, neurons, saturating, neural, network, convolutional",A four-layer convolutional neural network with ReLUs reaches a 25% training error rate on CIFAR-10 six times faster than an equivalent network with tanh neurons . No regularization of any kind was employed .
25,"computation, cross-gpu, network, gpu",1.2 million training examples are enough to train networks which are too big to fit on one GPU . Current GPUs are particularly well-suited to cross-GPU parallelization . This means that the GPUs communicate only in certain layers .
26,"cnn, columnar, top-1, architecture, top-5, error","The resultant architecture is somewhat similar to that of the ""columnar"" CNN employed by Cire an et al. This reduces our top-1 and top-5 error rates by 1.7% and 1.2% . The two-GPU net takes slightly less time to train than the one-gPU net2 ."
27,"net, layer, two-gpu, final, convolutional",2The one-GPU net actually has the same number of kernels . This is because most of the net's parameters are in the first fully-connected layer . We did not halve the size of the final convolutional layer to make the two nets have approximately the same numbers .
30,"normalization, neuron, kernel, relu","ReLUs have the desirable property that they do not require input normalization to prevent them from saturating . however, we still find that the following local normalization scheme aids generalization ."
31,"layer, kernel, number, maps",The order of the kernel maps is of course arbitrary and determined before training begins . This sort of response normalization implements a form of lateral inhibition inspired by the type found in real neurons . We applied this normalization after applying the ReLU nonlinearity in certain layers .
32,"normalization, critical, control, cifar-10, cnn, top-1, rate, error",Response normalization reduces our top-1 and top-5 error rates by 1.4% and 1.2% respectively . a four-layer CNN achieved a 13% test error rate without normalization .
