element_idx,keywords,summarized_text
7,"dynamic, lstm-rnn, network, classifiers",Long-Term Memory Recurrent Neural Networks are one of the most powerful dynamic classifiers publicly known . The network itself and the related learning algorithms are reasonably well documented to get an idea how it works . This paper will shed more light into understanding how LSTM-RNNs evolved and why they work impressively well
9,"memory, long-term, re-, networks, intelligence, neural, current, artificial",This article is a tutorial-like introduction initially developed as supplementary material for lectures focused on Artificial Intelligence . The interested reader can deepen his /her knowledge by understanding Long Short- Term Memory Recurrent Neural Networks considering its evolution since the early nineties .
14,"feed-forward, interconnected, static, neurons, networks, neural, classification",Neurons are simple units accepting a vector of real-valued inputs . Feed-forward neural networks are limited to static classification tasks . To model time prediction tasks we need a dynamic classifier .
15,"feed-forward, dynamic, networks, timesteps, neural, lstm-rnn, classification","We can extend feed-forward neural networks towards dynamic classification . This is due to the fed back signal is either vanishing or exploding . LSTM networks are to a certain extend biologically plausible and capable to learn more than 1,000 timesteps ."
17,"social, networks, neural, lstm-rnns, evolution","In this article, we help beginners in the machine learning community to understand how LSTM works with the intention motivate its further development . This article explains how neural networks evolved from a single perceptron to something as powerful ."
23,"of, weight, the, value, activation, u, unit, function","The output of a unit u is Yu, and unlike the input, it is a single value .  The set of units with connections from a Unit u; i.e., its successors, is Suc ."
28,"perceptron, threshold, neuron, artificial","Perceptrons consist of a number of external input links, a threshold, and a single external output link . Additionally, perceptrons have an internal input, 6, called bias . The perceptron learns these weights on the basis of training data . It sums all weighted input values and"
32,"nand, boolean, nor, functions, n","Single perceptrons can already represent a number of useful functions . Examples are the Boolean functions AND, OR, NAND and NOR . Other functions are only representable using networks of neurons ."
37,"separability, boolean, two-dimensional, graph, functions, linear","Figure 2 shows representations of the Boolean functions OR and XOR . The OR function is linearly separable, whereas the Xor function is not ."
43,"perceptron, imitation, training","Perceptron training is learning by imitation, which is called supervised learning . In cases of misclassification, it then modifies the weights accordingly . Convergence is not assured if the training data is not linearly separable."
44,"perceptron, rule, learning, delta","the perceptron learns from a set of samples A sample is a pair x, d> where x is the input and d is its label . The old weight vector W = W1 is updated to the new vector W' using the rule ."
46,"rate, learning, examples, training",the learning rate is a constant that controls the degree to which the weights are changed . The perceptron rule fails if the training examples are not linearly separable .
47,"optim, gradient, optimisation, learning, delta, descent, algorithm, rule","delta learning rule was specifically designed to handle linearly separable and linearly non-separable training examples . It also calculates the errors between calculated output and output data from training samples . The modification of weights is achieved by using gradient optimisation descent algorithm, which alters them in the direction that produces the steep"
53,"threshold, unit, sigmoid","the output of the sigmoid threshold unit now has more than two possible values . The function is called the 'squashing' function because it maps a very large input domain onto a small range of outputs . For a low total input value, the output is close to zero, whereas it is"
60,"perceptron, feed-forward, networks, neural, single-layer",single-layer neural networks consist of a set of input neurons . The outputs of the input-layer neurons are directly connected to the neurons of the output layer .
62,"neural, feed-forward, multilayer, network","the input and output layers are connected via at least one hidden layer . For most problems, feed-forward neural networks with more than two layers offer no advantage ."
69,"□, h, σ, 0, i, non-input, n, units","The set of units of the network is N  I  H  0, where  is disjoint union, and I, H, 0 are the sets of input, hidden and output units respectively . For convenience, we define the set of non-input units U E U, the input to "
76,"output, learning, eo, network, backpropagation, error",the backpropagation learning algorithm propagates the error backwards . The algorithm compares the network output Yo with the desired target output do . It calculates the error eo for each output neuron using some error function to be minimised .
96,"dynamic, events, systems, series, rnns, time",Recurrent neural networks are dynamic systems; they have an internal state at each time step of the classification . These feedback connections enable RNNs to propagate data from earlier events to current processing steps .
