element_idx,keywords,summarized_text
5,"vision, recognition, network, setting, convolutional, image",In this work we investigate the effect of the convolutional network depth on its accuracy in the large-scale image recognition setting . Our main contribution is a thorough evaluation of networks of increasing depth using an architecture with very small convolution filters . This shows that a significant improvement on the prior-art configurations can be achieved by
7,"imagenet, networks, recognition, large-scale, visual, convolutional, image","Convolutional networks have enjoyed a great success in large-scale image and video recognition which has become possible due to large public image repositories . ImageNet Large-Scale Visual Recognition Challenge has served as a testbed for a few generations . In particular, an important role in the advance of deep visual"
8,"layer, design, depth, network, convolutional","a number of attempts have been made to improve the original architecture of Krizhevsky et al. in a bid to achieve better accuracy . For example, the best-performing submissions to the ILSVRC2013 utilised smaller receptive window size and smaller stride of the first convolution"
9,"convnet, datasets, recognition, image","ConvNet architectures achieve the state-of-the-art accuracy on ILSVRC classification and localisation tasks . They are also applicable to other image recognition datasets, where they achieve excellent performance even when used as part of a relatively simple pipelines ."
17,"configuration, layer, convnet","In this section, we first describe a generic layout of our ConvNet configurations and then detail the specific configurations used in the evaluation ."
19,"convolution, layer, stride, input, convolutional",the input to our ConvNets is a fixed-size 224 x 224 RGB image . The only preprocessing we do is subtracting the mean RGB value from each pixel . In one of the configurations we also utilise 1 x 1 convolution filters .
21,"normalisation, non-linearity, local, (lrn), rectification, response","Local Response Normalisation normalisation does not improve performance on the ILSVRC dataset, but leads to increased memory consumption and computation time . Where applicable, the parameters for the LRN layer are those of ."
23,"layer, conv., network","ConvNet configurations are evaluated in Table 1 . The width of conv. layers is rather small, starting from 64 in the first layer and then increasing by a factor of 2 after each max-pooling layer ."
26,"fields, layer, ilsvrc-2013, field, receptive, conv.","ConvNet configurations are quite different from the ones used in the top-performing entries of the ILSVRC-2012 and ILVSRC-2013 competitions . We use very small 3 x 3 receptive fields throughout the whole net, which are convolved with the input at every pixel "
33,"x, convolution, layer, 3, rectification, nonlinear, stack","a stack of three 3 x 3 conv. layers instead of a single 7 x 7 layer can be seen as imposing a regularisation on the filters, forcing them to have a decomposition through the filters . assuming that both the input and output of the three-layer stack has C channels,"
