element_idx,keywords,summarized_text
5,"trpo, monotonic, policies, improvement","We describe an iterative procedure for optimizing policies, with guaranteed monotonic improvement . By making several approximations to the theoretically-justified procedure, we develop a practical algorithm called Trust Region Policy Optimization ."
7,"gradient, iteration, covariance, methods, policy, adaptation, matrix",policy iteration methods alternate between estimating the value function under the current policy and improving the policy . policy gradient methods use an estimator of the gradient of the expected return obtained from sample trajectories .
10,"optimization, namic, locomotion, dy-, gradient-based, programming, approximate","Tetris is a classic benchmark problem for approximate dynamic programming methods, stochastic optimization methods are difficult to beat on this task . Continuous gradient-based optimization has been very successful at learning function approximators for supervised learning tasks with huge numbers of parameters ."
11,"model-free, optimization, region, trust, trpo, pol-, setting, icy","We describe two variants of this algorithm: the single-path method, which can be applied in the model-free setting . The vine method requires the system to be restored to specific states . These algorithms are scalable and can optimize nonlinear policies with tens of thousands of parameters, which have previously posed a"
24,"optimal, maxa, arg, policy"," = arg maxa A , improves the policy if there is at least one state-action pair with a positive advantage value and nonzero state visitation probability . However, in the approximate setting, it will typically be unavoidable, due to estimation and approximation error, that there"
33,"improvement, equation, bound, stochastics","policy improvement bound in Equation can be extended to general stochastic policies, rather than just mixture polices, by replacing a with a distance measure between and  . This result is crucial for extending the improvement guarantee to practical problems ."
59,"13, equation","We first replace Es Poold in the objective by the expectation E sPoold . Next, we replace the advan1- 2 tage values Aoold by the Q-values Quold in Equation ."
64,"gradient, it-, eration, policy, rollout, methods, set, estimation","the first sampling scheme, which we call single path, is the one that is typically used for policy gradient estimation . The second scheme, vine, involves constructing a rollout set and then performing multiple actions from each state in each state ."
68,"oi, set, (·|sn), rollout","In this estimation procedure, we first sample SO  Po and simulate the policy Oi . We then choose a subset of N states along these trajectories . For each state Sn in the rollout set, we sample K actions according to an,k  q ."
71,"qui, carlo, state, monte, rollout, estimation","mate QUi by performing a rollout starting with state Sn and action an,k. can We greatly reduce the variance of the Q-value differences between rollouts by using the same random number sequence for the noise in each rollout ."
76,"single, rollout, set, path, method",the vine method gives much better estimates of the advantage values . The downside is that we must perform far more calls to the simulator for each of these advantage estimates .
79,"problem, optimization, gradient, carlo, estimates, algorithm, monte, conjugate, constrained","Approximately solve this constrained optimization problem to update the policy's parameter vector 0. By averaging over samples, construct the estimated objective and constraint in Equation ."
80,"information, state, covariance, sn, matrix, fim",The ana1 V En=1 dui log lytic estimator integrates over the action at each state Sn . It does not depend on the action an sampled . The rate of improvement in the policy is similar to the empirical FIM .
