element_idx,keywords,summarized_text
6,"language, natural, understanding, glue",GLUE is designed to favor and encourage models that share general linguistic knowledge across tasks . We include tasks with limited training data and a diagnostic test suite that enables detailed linguistic analysis .
8,"language, understanding, nlu","The human ability to understand language is general, flexible, and robust . NLU models above the word level are designed for a specific task and struggle with out-of-domain data ."
9,"answering, glue, question","GLUE does not place any constraints on model architecture beyond the ability to process single-sentence and sentence-pair inputs and to make corresponding predictions . For some tasks, training data is plentiful, but for others it is limited or fails to match the genre of the test set . None of the datasets in "
17,"multi-task, baseline, glue, model","unified multi-task trained models slightly outperform comparable models trained on each task separately . Our best multitask model makes use of ELMo , a recently proposed pre-training technique ."
18,"evaluation, sentence, representation, diagnostic","an online evaluation platform and leaderboard, based primarily on privately-held test data . The platform is model-agnostic, and can evaluate any method capable of producing results on all nine tasks ."
20,"nlp, multi-task, sharing, learning","Collobert et al. used a multi-task model with a shared sentence understanding component to jointly learn POS tagging, chunking, named entity recognition, and semantic role labeling . More recent work has explored using labels from core NLP tasks to supervise training of lower levels of deep neural networks and automatically"
21,"multi-task, glue, senteval, learning","Beyond multitask learning, much work in developing general NLU systems has focused on sentence-to-vector encoders . In this line of work, a standard evaluation practice has emerged, recently codified as SentEval ."
26,"answering, glue, question",decaNLP scores NLP systems based on their performance on multiple datasets . That benchmark lacks the leaderboard and error analysis toolkit of GLUE . It rewards methods that yield good performance on a circumscribed set of tasks .
28,"system, tasks, understanding, generalizable, glue, nlu","GLUE is centered on nine English sentence understanding tasks, which cover a broad range of domains, data quantities, and difficulties . We design the benchmark so that good performance should require a model to share substantial knowledge across all tasks . Although it is possible to train a single model for each task with no pretraining"
30,"linguistic, acceptability, coefficient, theory, correlation",CoLA The Corpus of Linguistic Acceptability consists of English acceptability judgments drawn from books and journal articles on linguistic theory . Each example is annotated with whether it is a grammatical English sentence . We use Matthews correlation coefficient as the evaluation metric .
34,"quora, pairs, question-answering, question, website","QQP The Quora Question Pairs2 dataset is a collection of question pairs . The task is to determine whether a pair of questions are semantically equivalent . We use the standard test set, for which we obtained private labels ."
43,"mnli, inference, corpus, naturalne, multi-genre, entence, te, language, annotations, entailment","MNLI The Multi-Genre Natural Language Inference Corpus is a crowdsourced collection of sentence pairs with textual entailment annotations . Given a ten different sources, we use the standard test set, for which we obtained private labels from the authors, and evaluate on both the matched and mismatched"
44,"question-answering, dataset, question-paragraph, pair","QNLI The Stanford Question Answering Dataset is a question-answering dataset consisting of question-paragraph pairs . The task is to determine whether the context sentence contains the answer to the question . This modified version of the original task removes the requirement that the model select the exact answer, but also removes"
45,"rte5, rte","RTE The Recognizing Textual Entailment datasets come from a series of annual textual entailment challenges . We combine the data from RTE1 , RTE2 , and RTE5 ."
46,"sentence, pair, comprehension",WNLI The Winograd Schema Challenge is a reading comprehension task in which a system must read a sentence with a pronoun and select the referent . Each one is contingent on contextual information provided by a single word or phrase in the sentence . The task is to predict if the sentence
53,"qnli, development, pronoun, training, substituted, set","We use a small evaluation set consisting of new examples derived from fiction books5 that was shared privately by the authors of the original corpus . While the included training set is balanced between two classes, the test set is imbalanced between them ."
55,"test, diagnostic, glue, benchmark, dataset",GLUE benchmark follows the same evaluation model as SemEval and Kaggle . The benchmark site shows per-task scores and a macro-average of those scores to determine a system's position on the leaderboard .
57,"fracas, phenomena, diagnostic, suite, dataset","Drawing inspiration from the FraCaS suite and the recent Build-It competition, we include a small, manually-curated test set for the analysis of system performance . The main benchmark mostly reflects an application-driven distribution of examples ."
58,"linguistic, phenomena, testing, nli",The NLI task is well-suited to this kind of analysis . We ensure the data is reasonably diverse by producing examples for a variety of linguistic phenomena and basing our examples on naturally occurring sentences .
62,"relationships, of, fracas, pairs, suite, sentence, quality, entailment","Annotation Process We construct each example by locating a sentence that can be easily made to demonstrate a target phenomenon . We make minimal modifications SO as to maintain high lexical and structural overlap within each sentence pair and limit superficial cues . Where possible, we produce several pairs with different labels for a single source"
64,"mnli, crowdsourced, data, label, enta, entailment","we audit the data for such artifacts . We reproduce the methodology of Gururangan et al., training two fastText classifiers to predict entailment labels on SNLI and MNLI using only the hypothesis as input."
66,"qualitative, comparison, diagnostic, model, set","Intended Use We do not expect performance on the diagnostic set to reflect overall performance or generalization in downstream applications . The set is provided not as a benchmark, but as an analysis tool for error analysis, qualitative model comparison, and development of adversarial examples ."
