element_idx,keywords,summarized_text
6,"computation, sequence, memorization, sequential, grid, lstm","Grid Long Short-Term Memory is a network of LSTM cells arranged in a multidimensional grid that can be applied to vectors, sequences or higher dimensional data such as images . We apply the model to algorithmic tasks such as 15-digit integer addition and sequence memorization, where it is able"
8,"cells, memory, networks, neural, recurrent, lstm","Long-Term Memory networks are recurrent neural networks equipped with a special gating mechanism that controls access to memory cells . Since the gates can prevent the rest of the network from modifying the contents of the memory cells for multiple time steps, LSTM networks preserve signals and propagate errors for much longer than ordinary re"
9,"deep, computation, networks, sequential, lstm",Deep networks suffer from exactly the same problems as recurrent networks applied to long sequences . LSTM seems attractive to generalise the advantages of deep computation .
10,"cells, way, network, architecture, robust, lstm","We introduce Grid LSTM, a network that is arranged in a grid of one or more dimensions . The depth dimension is treated like the other dimensions and uses LSMC cells to communicate directly from one layer to the next."
17,"feed-forward, networks, train, multidimensional, lstm",is used to train feed-forward networks with up to 900 layers of depth . Grid LSTM with two dimensions is analogous to the Stacked-LSTM . but it adds cells along the depth dimension too .
18,"two-dimensional, integer, grid, lstm",We study some of the learning properties of Grid LSTM in various algorithmic tasks . We compare the performance of two-dimensional grids to Stacked LS on computing the addition of two 15-digit integers without curriculum learning .
19,"btec, translation, neural, mnist, iwslt, image",Grid LSTM achieves 1.47 bits-per-character in the 100M characters Wikipedia dataset . The network outperforms the reference phrase-based CDEC system on the IWSLT BTEC Chinese-to-Ensligh translation task .
33,"memory, gu, mi-1, gc, networks, gates, vector, lstm",the gate gf can delete parts of the previous memory vector mi-1 . The gate gu controls what is then read from the new memory mi onto the hidden vector hi . This ensures that the forward signals from one step to the other are not repeatedly squashed by a non-linearity such as t
39,"lstm, stacked, network","Stacked LSTM adds capacity by stacking layers on top of each other . The output hidden vector hi in Eq. 1 is taken as the input to the LSMC above in place of I * Xi . Note that although the cells are present along the sequential computation, they are not present ."
41,"multidimensional, grid, lstm","The network concatenates the transformed input I * x and the N hidden vectors h1, ..., hN into a vector H and as in Eq. 1 computes gu, g° and gc, as well as N forget gates g.f . At each input "
