element_idx,keywords,summarized_text
3,"q-learning, dqn, values, algorithm","In this paper, we answer all these questions affirmatively . In particular, we first show that the recent DQN algorithm suffers from substantial overestimations in some games in the Atari 2600 domain ."
4,"q-learning, q-le",Q-learning is one of the most popular reinforcement learning algorithms . The goal of reinforcement learning is to learn good policies for sequential decision problems . It is known to sometimes learn unrealistically high action values .
5,"estimates, value, overestimation, error, approximation, noise","In previous work, overestimations have been attributed to insufficiently flexible function approximation and noise . Overestimation can occur when the action values are inaccurate . Of course, imprecise values are the norm during learning ."
6,"estimates, value, optimism",overoptimistic value estimates are not necessarily a problem in and of themselves . if all values would be uniformly higher then the relative action preferences are preserved and we would not expect the resulting policy to be any worse .
9,"deep, asymptotic, neural, al-, dqn, low, network, gorithm, error, approximation","DQN combines Q-learning with a flexible deep neural network . It was tested on deterministic Atari 2600 games, reaching human-level performance . In some ways, this setting is a best-case scenario for Q-Learning ."
10,"double, estimates, algorithm, value, dqn, domain, atari-learning, atari",Double Q-learning algorithm was first proposed in tabular setting . We then show that this algorithm leads to much higher scores on several games . This demonstrates that overestimations of DQN were indeed leading to poorer policies .
16,"learning, q-learning, action, ference, values, dif-, temporal, optimal","Q-learning is a form of temporal difference learning . Most interesting problems are too large to learn all action values separately . Instead, we can learn a parameterized value function Q ."
20,"target, deep, q, dqn, network","A deep Q network is a multi-layered neural network that outputs a vector of action values Q, where 0 are the parameters of the network . The target network, with parameters 0- is the same as the online network ex, cept that its parameters are copied every T steps from the network, SO that then "
24,"q-learning, value, functions","In the original Double Q-learning algorithm, two value functions are learned by assigning each experience randomly to update one of the two values functions . For each update, one set of weights is used to determine greedy policy and the other to determine its value ."
27,"of, action, the, online, value, argmax, weights","the selection of the action, in the argmax, is still due to the online weights 0t . This means that we are still estimating the value of the greedy policy according to the current values . The second set of weights can be updated symmetrically by switching the roles of 0 and 0"
29,"q-learning, q-le","Q-learning's overestimations were first investigated by Thrun and Schwartz . They showed that if the action values contain random errors uniformly distributed in an interval then each target is overestimatated up to YE m+1, where m is the number of actions . In addition, "
30,"approximation, function","estimation errors of any kind can induce upward bias, regardless of whether these errors are due to environmental noise, function approximation, non-stationarity or any other source. This is important, because in practice any method will incur some inaccuracies during learning ."
32,"q, qt(s, qt","Qt be arbitrary value estimates that are on the whole unbiased in the sense that a - V*) = 0, but that are not all correct . Under these conditions, maxa Qt  V* + V m-1. This lower bound on the absolute error of the Double Q-learning estimate is zero"
40,"approximation, space, function, state","the true optimal action values depend only on state SO that in each state all actions have the same true value . The sampled states are spaced further apart near the left side of the left plots . In many ways this is a typical learning setting, where at each point in time we only have limited data."
41,"state, action, maximum, value, truth","The middle column of plots in Figure 2 shows estimated action value functions for all 10 actions . The true value function is the same for all actions, but the approximations differ because we have supplied different sets of sampled states . 1 The maximum is often higher than the ground truth shown in purple on the left ."
44,"bottom, true, value, rows, approximation, function","The difference between the top and middle rows is the true value function . The difference is the flexibility of the function approximation . In the left-middle plot, the estimates are even incorrect ."
45,"bottom, row, overestimation",In contrast to van Hasselt we did not rely on inflexible function approximation with irreducible asymptotic errors . The bottom row shows that a function that is flexible enough to cover all samples leads to high overestimations .
