element_idx,keywords,summarized_text
4,"deep, analysis, learning, reinforcement, networks, neural","reinforcement learning agents must derive efficient representations of the environment from high-dimensional sensory inputs, and use these to generalize past experience to new situations . The theory ofreinforcement learning provides a normative account1 deeply rooted in psychological2 and neuroscientific3 perspectives on animal behaviour . This work bridges"
5,"neural, artificial, network, visual, cortex, architecture","We set out to create a single algorithm that would be able to develop a wide range of competencies on a varied range of challenging tasks . This is a central goal of general artificial intelligence13 that has eluded previous efforts8,14,15 To achieve this, we developed a novel agent, a deep"
8,"action-value, fun, function, approximator","Reinforcement learning is known to be unstable or even to diverge when a nonlinear function approximator is used to represent the action-value function20 . This instability has several causes: the correlations present in the sequence ofobservations, the fact that small updates to Q may significantly change the policy and therefore change"
9,"q-network, update, function, q-learning",these methods involve the repeated training ofnetworks de novo on hundreds of iterations . This method is too inefficient to be used successfully with large neural networks . To perform experience replay we store the agent's experiences et = at each time-step t in a data set Dt = e
19,"network, architecture","We used the same network architecture, hyperparameter values and learningprocedure throughout-taking high-dimensional data as input-to demonstrate that our approach robustly learns successful policies over a variety of games based solely on sensory inputs with only very minimal prior knowledge ."
21,"learning, reinforcement, literature, dqn, agent","Our DQN method outperforms the best existing reinforcement learning methods on 43 of the 49 games where results were available12.15 . In addition to the learned agents, we also report scores for a professional human games tester playing under controlled conditions . a policy that selects actions uniformly at random and 0% on "
29,"dqn, agent","We demonstrate the importance of the individual core components of the DQN agent-the replay memory, separate target Q-network and deep convolutional network architecture-by disabling them ."
30,"similar, of, ization, embeddings, dqn, data, visual-, high-dimensional",W e next examined the representations learned by DQN that underpinned the successful performance ofthe agentin the context of Space Invaders . We also found instances in which the t-SNE algorithm generated similar embeddings for DQn representations of states that are close in terms of expected reward 
31,"competing, 2, table, extended, data, methods, games, outperforms",Audio output was disabled for both human players and agents . Error bars indicate s.d. across the 30 evaluation episodes .
32,"bottom, dqn, right",the network is able to learn representations that support adaptive behaviour from high-dimensional sensory inputs . We also show that the representations learned by DQN can generalize to data generated from policies other than its own-in simulations where we presented as input to the network game states experienced during human and agent play .
39,"dqn, invaders, space, agent",Figure 4 I Two-dimensional t-SNE embedding of the representations in the last hidden layer assigned by DQN to game states experienced while playing Space Invaders . The plot was generated by letting the agent play for 2h ofreal game time and running the tSNE algorithm25 on the
