element_idx,keywords,summarized_text
4,"financial, reports, statements","In this work, we focus on answering deep questions over financial data . In contrast to existing tasks on general domain, the finance domain includes complex numerical reasoning and understanding of heterogeneous representations . To facilitate analytical progress, we propose a new large-scale dataset, FINQA, with Question-Answering"
6,"analysis, ratio, quality, financial",Financial analysis is a critical means of assessing business performance . Such analysis demands advanced expertise in reasoning among heterogeneous data sources and performing complex numerical reasoning . These challenges are compounded by poor analysis .
9,"capabilities, drop, questions, answering, dataset","NLP studies explored numerical reasoning capabilities needed to answer questions correctly . For example, the DROP dataset focused on Wikipedia-based questions that require numerical reasoning . Financial QA is more challenging than classic QA because it requires the system to spot relevant information across heterogeneous sources . It also takes substantial knowledge to ask meaningful"
10,"net, financial, qa, positions, tax, finqa, change","FINQA contains 8,281 financial QA pairs based on earnings reports of S&P 500 companies . Eleven finance professionals collectively constructed the dataset . The reason-based questions require information from both tables and unstructured texts ."
21,"qa, retriever-generator, framework","Equipped with pretrained language models such as BERT and RoBERTa, our proposed approach outperforms all other baselines and achieves an execution accuracy of 65.05%."
27,"drop, math, mathqa",There have been several QA datasets involving numerical understandings and calculations . The major source is from structured tables or knowledge bases . Popular datasets include Complex WebQuestions .
29,"financial, reports",Recent works attempt to develop pre-trained models specialized for finance domain . There is no previous work and dataset on building QA systems of numerical reasoning on financial reports.
32,"timing, tables, financial, information","Gi is all the correct programs to evaluate to the answer . For financial tables, there is typically a description header . Each row has its name on the left ."
34,"operations, algebra, accounting, table, aggregation, linear, tions, mathematical, opera-","We include 10 common types of operations in our dataset . There are 6 mathematical operations: add, subtract, multiply, divide, greater, exp, and 4 table aggregation operations . The mathematical operations take arguments of either numbers from the given reports or a numerical result from a previous step ."
36,"appendix, a, table, row, names","Table operations take arguments of table row names . We use the special token #n to denote the result from the nth step . For example, in Figure 1, the program consists of 3 steps ."
37,"mathqa, math","Previous studies on QA with numerical reasoning only evaluate the execution accuracy, i.e., the final results from the generated programs, such as DROP and MathQA . However, the applications for the finance domain generally pose much higher requirements of explainability and transparency . Therefore, we also provide the gold programs for our dataset"
43,"tedious, structures, contents, nested, tables, complex, fintabnet, with","a total of 12,719 pages were selected for further annotation . For the tables with 2 description headers, we merge them into a single header ."
