element_idx,keywords,summarized_text
5,"sequence, modeling, network, topologies, lstm",Long Short-Term Memory networks have obtained strong results on a variety of sequence modeling tasks . TreeLSTMs outperform all existing systems and strong LSTM baselines on two tasks: predicting semantic relatedness of two sentences .
9,"bag-of-words, sequence, representation, sentence, models","bag-of-words models, sequence models, and tree-structured models construct phrase and sentence representations from its constituent subphrases according to a given syntactic structure ."
10,"nlp, order-sensitive, model, sequential, models","Order-insensitive models are insufficient to fully capture semantics of natural language due to their inability to account for differences in word order or syntactic structure . Tree-structured models are a linguistically attractive option because of their relation to syntic interpretations of sentence structure. In this paper, we work towards"
13,"tasks, memory, sequence, long-term, modeling, prediction, lstm","RNNs with Long Short-Term Memory units have re-emerged as a popular architecture due to their representational power and effectiveness at capturing long-term dependencies . LSTM networks, which we review in Sec. 2, have been successfully applied to a variety of sequence modeling tasks ."
14,"lstm, tree-structured, topologies, network",tree-structured LSTM composes its state from an input vector and the hidden states of arbitrarily many child units . Tree-LSTM can then be considered a special case of the Tree-LTM where each internal node has exactly one child .
15,"pairs, tree-lstm, sentiment, classification, relatedness",Tree-LSTMs outperform existing systems and sequential LSTM baselines on both tasks . Implementations of our models and experiments are available at https : // github  com/treelstm.
18,"state, ht, networks, hidden, neural, recurrent, rnns","Recurrent neural networks are able to process input sequences of arbitrary length via the recursive application of a transition function on a hidden state vector ht . At each time step t, the hidden state is a function of the input vector Xt that the network receives at time t"
25,"lstm, unit, logistic, sigmoid, function","forget gate controls the extent to which the previous memory cell is forgotten . input gate controls how much each unit is updated . The hidden state vector in an LSTM unit is a gated, partial view of the state of the unit's internal memory cell ."
34,"memory, tree-lstm, cell, unit, updates","Tree-LSTM unit contains input and output gates ij and a memory cell and hidden Cj Oj, state hj . The difference between standard LSTM units and Tree-LTM units is that gating vectors and memory cell updates are dependent on the states of possibly many child units . Tree"
38,"tree-lstm, vector, input, word","In our applications, each Tree-LSTM unit takes an input vector xj . The input word at each node depends on the tree structure used for the network . In a TreeLSTM over a dependency tree, the leaf nodes take the corresponding word vectors as input."
