element_idx,keywords,summarized_text
3,"imagenet, computer, stance, vision, pre-training, in-, segmentation",We report competitive results on object detection and instance segmentation on the COCO dataset . The results are no worse than their ImageNet pre-training counterparts even when using the hyper-parameters of the baseline system that were optimized for fine-tuning pretrained models .
5,"target, computer, segmentation, vision, task, image","In recent years, a well-established paradigm has been to pre-train models using large-scale data and then to fine-tune the models on target tasks that often have less training data . Pre-training has enabled state-of-the-art results on many tasks ."
10,"detection, pre-training, object, competitive","we report competitive object detection and instance segmentation accuracy is achievable when training on COCO from random initialization . We find that there is no fundamental obstacle preventing us from training from scratch, if: we use normalization techniques appropriately for optimization ."
13,"imagenet, model, random, initialization, large, comparability",We show that training from random initialization on COCO can be on par with ImageNet pre-training counterparts for a variety of baselines that cover Average Precision from 40 to over 50 . We also find that such comparability holds even if we train with as little as 10% COCO training data .
14,"imagenet, low-/mid-level, features, pre-training, up, speeds, convergence","ImageNet pre-training speeds up convergence, especially early on in training . but training from random initialization can catch up after training for a duration that is roughly comparable to the total ImageNet Pre-training plus fine-tuning computation-it has to learn the low-/mid-level features that are otherwise given by pre"
15,"imagenet, fine-tuning, pre-training","ImageNet pre-training does not automatically give better regularization . We find that new hyperparameters must be selected for fine-tuning to avoid overfitting . When training from random initialization using the same hyper-parameter, the model can match the accuracy without any extra regularization, even with only 10% CO"
16,"imagenet, pre-training, spatial, localization","ImageNet pre-training shows no benefit when target tasks/metrics are more sensitive to spatially welllocalized predictions . We observe a noticeable AP improvement for high box overlap thresholds when training from scratch . Intuitively, the task gap between the classification-based, ImageNet-like Pre-training and"
17,"imagenet, vision, computer, pre-training","ImageNet pre-training is a historical workaround for when the community does not have enough target data or computational resources to make training on the target task doable . In addition, ImageNet has been largely thought of as a 'free' resource thanks to the readily conducted annotation efforts and wide availability of pretrained models "
19,"imagenet, fine-tuning, net-work, net-works","the initial breakthrough of applying deep learning to object detection was achieved by fine-tuning networks that were pre-trained for ImageNet classification . Recent work pushes this paradigm further by pre-training on datasets that are 6x , 300x, and even 3000x larger than ImageNet ."
22,"detection-specific, training, architecture",Shen et al. argued for new design principles to obtain a detector that is optimized for the accuracy when trained from scratch . They designed a specialized detector driven by deep supervised networks and dense connections .
23,"imagenet, pre-training, architecture",Our focus is on understanding the role of ImageNet pre-training on unspecialized architectures . Our study demonstrates that it is often possible to match fine-tuning accuracy when training from scratch .
26,"imagenet, architectures, improvements, architecture, pre-training",Our goal is to ablate the role of ImageNet pretraining via controlled experiments . We describe the only two modifications that we find to be necessary .
28,"normalization, classifier, activation, training, image",Image classifier training requires normalization to help optimize optimization . Successful forms of normalization include normalized parameter initialization and activation normalization layers . Overlooking normalization can give misperception that detectors are hard to train from scratch .
