element_idx,keywords,summarized_text
3,"imagenet, computational, budget, network, architecture","Inception was responsible for setting the new state of the art for classification and detection in the ImageNet Large-Scale Visual Recognition Challenge 2014 . To optimize quality, the architectural decisions were based on the Hebbian principle and the intuition of multi-scale processing . One particular incarnation used in our submission for IL"
5,"deep, of, 2014, recognition, network, architecture, ilsvrc, quality, image","In the last three years, the quality of image recognition and object detection has been progressing at a dramatic pace . Most of this progress is not just the result of more powerful hardware, larger datasets and bigger models . No new data sources were used, for example, by the top entries in the ILSVRC 2014 competition"
6,"adds, deep, architecture, multiply","a notable factor is that with the ongoing traction of mobile and embedded computing, the efficiency of our algorithms - especially their power and memory use - gains importance . For most of the experiments, the models were designed to keep a computational budget of 1.5 billion multiply-adds at inference time, SO that the they do"
9,"deep, internet, vision, network, architecture","We will focus on an efficient deep neural network architecture for computer vision, codenamed Inception . Inception derives its name from the Network in network paper by Lin et al ."
11,"networks, overfitting, neural, classification, convolutional, image","Variants of this basic design are prevalent in image classification literature . For larger datasets such as Imagenet, the recent trend has been to increase the number of layers and layer size ."
12,"of, neuro, neuroscience, model, the, primate, visual, cortex, inception","Serre et al. use a series of fixed Gabor filters of different sizes in order to handle multiple scales, similar to the Inception model . Inception layers are repeated many times, leading to a 22-layer deep model in the case of the GoogLeNet model."
13,"activation, networks, linear","Network-in-Network is an approach proposed by Lin et al. in order to increase representational power of neural networks . When applied to convolutional layers, the method could be viewed as additional 1 x 1 layers followed typically by the rectified linear activation . This enables it to be easily integrated"
14,"bounding, cnn, box, state-of-the-art, cues, low-level",R-CNN decomposes the overall detection problem into two subproblems: to first utilize low-level cues such as color and superpixel consistency for potential object proposals in a category-agnostic fashion . Such a two stage approach leverages the accuracy of bounding box segmentation with low
16,"deep, networks, neural, quality, training, higher, models",the most straightforward way of improving the performance of deep neural networks is by increasing their size . This includes increasing the depth - the number of levels - of the network and its width . It comes with two major drawbacks .
22,"computational, size, vision, network, resources","if two convolutional layers are chained, any uniform increase in the number of filters results in a quadratic increase of computation . Since in practice the computational budget is always finite, an efficient distribution of computing resources is preferred to an indiscriminate increase of size ."
23,"principle, space, hebbian, neuron, topology, network","The fundamental way of solving both issues would be by ultimately moving from fully connected to sparsely connected architectures, even inside the convolutions . This would also have the advantage of firmer theoretical underpinnings due to the groundbreaking work of Arora et al. Their main result states that if the probability distribution"
24,"modelling, infrastructures, numerical, computing, libraries","non-uniform sparse models require more sophisticated engineering and computing infrastructure . The gap is widened even further by the use of steadily improving, highly tuned, numerical libraries that allow for extremely fast dense matrix multiplication ."
27,"sparse, dense, matrix, matrices",sparse matrix computations tend to give state of the art practical performance . it does not seem far-fetched to think that similar methods would be used for the automated construction of non-uniform deep-learning architecture .
28,"networks, vision, localization, architecture, inception, structure","The Inception architecture started out as a case study of the first author for assessing the hypothetical output of a sophisticated network topology construction algorithm . Despite being a highly speculative undertaking, only after two iterations on the exact choice of topology, we could already see modest gains against the reference architecture "
