element_idx,keywords,summarized_text
6,"synthesis, generation, dm, state-of-the-art, image","diffusion models achieve state-of-the-art synthesis results on image data and beyond . Additionally, their formulation allows for a guiding mechanism to control the image generation process without retraining ."
8,"computer, vision, multi-modal, gan, distribution","Image synthesis is one of the computer vision fields with the most spectacular recent development, but also among those with the greatest computational demands . Especially high-resolution synthesis of complex, natural scenes is presently dominated by scaling up likelihood-based models, potentially containing billions of parameters in autoregressive transformers "
12,"dm, synthesis, state-of-the-art, image","results in image synthesis and beyond , and define the state-of-the-art in class-conditional image-synthesis and super-resolution . Moreover, even unconditional DMs can readily be applied to tasks such as inpainting and colorization or stroke-based synthesis . Being likelihood-based"
15,"approximately, a100, training, gpu","SO that producing 50k samples takes approximately 5 days on a single A100 GPU . Training such a model requires massive computational resources only available to a small fraction of the field, and leaves a huge carbon footprint ."
17,"space, pixel, model, trained, likelihood-based, diffusion","Departure to Latent Space Our approach starts with the analysis of already trained diffusion models in pixel space . In the second stage, the actual generative model learns the semantic and conceptual composition of the data ."
18,"pass, latent, network, (ldms), models, diffusion","We train an autoencoder which provides a lower-dimensional representational space perceptually equivalent to the data space . We train DMs in the learned latent space, which exhibit better scaling properties with respect to the spatial dimensionality ."
19,"token-based, conditioning, model, dm, multiple, trainings, diffusion","a notable advantage of this approach is that we need to train the universal autoencoding stage only once and can therefore reuse it for multiple DM trainings . For the latter, we design an architecture that connects transformers to the DM's UNet backbone and enables arbitrary types of token-based conditioning mechanisms"
33,"resolution, images, pixels, density, low, raw, estimation",cult to optimize and struggle to capture the full data distribution . Variational autoencoders and flow-based models emphasize good density estimation . computationally demanding architectures limit them to low resolution images .
34,"probabilistic, density, dm, estimation, models, diffusion","Diffusion Probabilistic Models , have achieved state-of-the-art results in density estimation as well as sample quality . The best synthesis quality is usually achieved when a reweighted objective is used for training . Evaluating and optimizing these models in pixel space has the downside of low"
35,"two, transfer, stage, synthesis, generic, arm, image",VQ-VAEs use autoregressive models to learn an expressive prior over a discretized latent space . extend this approach to text-to-image generation by learning a joint distributation over discretized image and text representations .
36,"ldm, compression, computational, low, cost","Proaches and less compression comes at the price of high computational cost . Our proposed LDMs scale more gently to higher dimensional latent spaces due to their convolutional backbone . Thus, we are free to choose the level of compression which optimally mediates between learning a powerful first stage ."
41,"unet, dm, low, architecture","By leaving the high-dimensional image space, we obtain DMs which are computationally much more efficient because sampling is performed on a low-dimensional space . This makes them particularly effective for data with spatial structure and alleviates the need for aggressive, quality-reducing compression levels as required by previous approaches ."
43,"compression, loss, perceptual, model",Our perceptual compression model is based on previous work and consists of an autoencoder trained by combination of a perceptionual loss and a patch-based adversarial objective . This ensures that the reconstructions are confined to the image manifold by enforcing local realism
47,"compression, space, learned, latent, regularization",VQ-reg. uses a vector quantization layer within the decoder . This model can be interpreted as a VQGAN . We can use relatively mild compression rates and achieve very good reconstructions .
49,"model, score-matching, data, variable, distribution","Diffusion Models are probabilistic models designed to learn a data distribution p by gradually denoising a normally distributed variable, which corresponds to learning the reverse process of a fixed Markov Chain of length T . These models can be interpreted as an equally weighted sequence of denoizing autoencode"
51,"modeling, generative, representations, latent","Generative Modeling of Latent Representations With our trained perceptual compression models consisting of 3 and D, we now have access to an efficient, low-dimensional latent space in which high-frequency, imperceptible details are abstracted away . This space is more suitable for likelihood-based generative"
60,"intermediate, layer, representation, cross-attention",We turn DMs into more flexible conditional image generators by augmenting their underlying UNet backbone with the cross-attention mechanism . We introduce a domain specific encoder that projects y to an intermediate representation To E R MxdT which is then mapped to the intermediate . Attention = softmax 
69,"ldm, first, stage, schemes, regularization","LDMs provide means to flexible and computationally tractable diffusion based image synthesis of various image modalities . We analyze the gains of our models compared to pixel-based diffusion models in both training and inference . In E.2 we list details on architecture, implementation, training and evaluation for all results presented"
71,"ldm, nvidia, factors, a100, pixel-based, dms, downsampling","This section analyzes the behavior of our LDMs with different downsampling factors . To obtain a comparable test-field, we fix the computational resources to a single NVIDIA A100 for all experiments in this section ."
73,"imagenet, information, progress, training, ldm-i, ldm-8, dataset, loss","Fig. 6 shows sample quality as a function of training progress for 2M steps of class-conditional models on the ImageNet dataset . We see that small downsampling factors for LDM-1,2 result in slow training progress, whereas ii) overly large values of f cause stagn"
74,"imagenet, compression, synthesis, rate, quality",LDM-4-8 outperform models with unsuitable ratios of perceptual and conceptual compression . Complex datasets such as ImageNet require reduced compression rates to avoid reducing quality .
76,"celeba-hq, lsun-churches, lsgm, lsun-bedrooms","On CelebA-HQ, we report a new state-of-the-art FID of 5.11 . We also outperform LSGM where a latent diffusion model is trained together ."
82,"downsampling, ldm, training, factors",Pixel-based LDM-1 requires substantially larger train times . All models are trained on a single NVIDIA A100 with the same computational budget . Results obtained with 100 DDIM steps and K = 0.
84,"ddim, imagenet, compression, varying","Different markers indicate 10, 20, 50, 100, 200 sampling steps using DDIM . The dashed line shows the FID scores for 200 steps . All models were trained for 500k / 2M steps on an A100."
97,"conditioning, ldm, text-to-image, cross-attention, based, diffusion","introducing cross-attention based conditioning into LDMs we open them up for various conditioning modalities previously unexplored for diffusion models . For textto-image image modeling, we train a 1.45B parameter KL-regularized LDM conditioned on language prompts on LAION-400M "
103,"ldm, translation, synthesis, image-to-image, semantic","We use this to train models for semantic synthesis, super-resolution and inpainting . We train on input resolution of 2562 but find that our model generalizes to larger resolutions and can generate large images between 5122 and 10242 ."
112,"ldm-sr, degradation, regression, image","We use the f = 4 autoencoding model pretrained on OpenImages and concatenate the low-resolution conditioning y and the inputs to the UNet, i.e. TO is the identity . A simple image regression model achieves the highest PSNR and SSIM scores ."
121,"fourier, inpainting, convolutions, approach, state-of-the-art, fast","Inpainting is the task of filling masked regions of an image with new content . We evaluate how our general approach for conditional image generation compares to more specialized, state-of-the-art approaches for this task ."
122,"ldm-4, ldm-1, l","We first analyze the effect of different design choices for the first stage . For comparability, we fix the number of parameters for all models . Tab. 6 reports the training and sampling throughput at resolution 2562 and 5122 . Overall, we observe a speed-up of at least 2.7x between pixel- and"
123,"fid, lpips, quality, image",the comparison with other inpainting approaches in Tab. 7 shows that our model with attention improves the overall image quality as measured by FID over that of . LPIPS between the unmasked images and our samples is slightly higher .
128,"resolution, modules, inpainting, attention, additional, image",we noticed a discrepancy in the quality of samples produced at resolutions 2562 and 5122 . but fine-tuning the model for half an epoch allows the model to adjust to the new feature statistics and sets a new state of the art FID on image inpainting .
130,"ldm, pixel-based, approach","Limitations While LDMs significantly reduce computational requirements compared to pixel-based approaches, their sequential sampling process is still slower than that of GANs ."
134,"deep, images, of, manipulation, manipulated, fakes, deliberate","enable various creative applications, and in particular approaches like ours that reduce the cost of training and inference have the potential to facilitate access to this technology and democratize its exploration . On the other hand, it becomes easier to create and disseminate manipulated data or spread misinformation and spam ."
136,"deep, modules, learning, gan-based, approach, likelihood-based, gan",deep learning modules tend to reproduce or exacerbate biases that are already present in the data . the extent to which our two-stage approach that combines adversarial training and a likelihood-based objective misrepresents the data remains an important research question.
139,"models, methods, state-of-the-art, diffusion","We have presented latent diffusion models, a simple and efficient way to significantly improve the training and sampling efficiency of denoising diffusion models without degrading their quality . Based on this and our crossattention conditioning mechanism, our experiments could demonstrate favorable results compared to state-of-the-art methods across a wide range of"
143,"ieee, puter, com-, society, computer, scale, synthesis, cvpr, waveform, large, image","In 2017 IEEE Conference on Computer Vision and Pattern Recognition Workshops, CVPR Workshops 2017, Honolulu, HI, USA, July 21-26, 2017, pages 1122-1131. IEEE Computer Society, 2017. 1 Martin Arjovsky, Soumith Chintala, and Leon Bottou. Wasser"
