element_idx,keywords,summarized_text
3,"make-an-audio, generative, modeling, text-to-, video, multimodal","We propose Make-An-Audio with a prompt-enhanced diffusion model . This model addresses these gaps by introducing pseudo prompt enhancement . We present its controllability and generalization for X-to-audio in ""No Modality Left Behind"""
11,"language-audio, contrastive, text-to-audio, generation, model, data, pretraining, language-free, t2a, prompt-enhanced, diffusion","In this work, we propose Make-An-Audio with a promptenhanced diffusion model for text-to-audio generation . To alleviate data scarcity, we introduce a pseudo prompt enhancement approach to construct natural languages that align well with audio ."
15,"audio, quality, make-an-audio, text-to-audio",Make-An-Audio achieves new state-of-the-art in text-to-audio with natural and controllable synthesis . Both subjective and objective evaluations demonstrate that Make a good result . The benchmark AudioCaption dataset also generalizes well to the unsupervised Clotho dataset in
18,"language-free, audios, make-an-audio, distill-then-reprogram",Make-An-Audio is an effective method that leverages latent diffusion with a spectrogram autoencoder to model the long continuous waveforms . We introduce a pseudo prompt enhancement with the distill-then-reprogram approach .
21,"deep, generative, videos, video, models, image",pioneering work of DALL-E encodes images into discrete latent tokens using VQVAE and considers T2I generation as a sequence-to-sequence translation problem .
22,"diffusion, glide, large-scale, model",GLIDE trains a T2I upsampling model for a cascaded generation . Stable diffusion utilizes latent space diffusion instead of pixel space to improve computational efficiency . CogVideo is built on top of a CogView2 model with a multi-framerate hierarchical training
25,"audio, generation, text-guided, visual, diffusion",DiffSound is the first to explore text-to-audio generation with a discrete diffusion process that operates on audio codes obtained from a VQ-VAE . AudioLM introduces the discretized activations of a masked language model pre-trained on audio and generates syntactically plausible
26,"audio, pre-training, samples",AudioGen propose to generate audio samples autoregressively conditioned on text inputs . We introduce pseudo prompt enhancement and leverage the power of contrastive language-audio pre-training and diffusion models for highfidelity generation .
28,"chical, learning, self-supervised, hierar-, ssl, architecture",SoundStream presents hierarchical architecture for high-level representations that carry semantic information . Data2vec uses a fast convolutional decoder and explores the contextualized target representations in a self-supervised manner .
34,"self-supervision, autoencoder, audio, masked, spectrogram","Recently, spectrograms autoencoder with reconstruction objective as self-supervision have demonstrated the effectiveness of heterogeneous image-to-audio transfer . Xu et al. study the Masked Auto Encoders to self-supervised representation learning from audio spectrons . Inspired by these"
