element_idx,keywords,summarized_text
3,"likelihood, generative, value, ddpm, gan, models","Denoising diffusion probabilistic models are a class of generative models which have recently been shown to produce excellent samples . We show that with a few simple modifications, DDPMs can also achieve competitive loglikelihoods while maintaining high sample quality . Additionally, learning variances of the reverse diffusion process allows sampling"
6,"probabilistic, generative, score, ddpm, based, models, diffusion","Sohl-Dickstein et al. introduced diffusion probabilistic models . generative models learn to reverse a gradual, multi-step noising process . It has been shown that this class can produce high-quality images and audio ."
11,"future, ddim, quality, ddpm","DDPM requires hundreds of forward passes to produce good samples . We can achieve good samples with as few as 50 forward passes, thus speeding up sampling for practical applications ."
12,"likelihood, likelihood-based, gan, gans, models",We wanted to compare the distribution coverage of these models with GANs . We used the improved precision and recall metrics . This suggests that diffusion models achieve much higher recall for similar FID .
24,"lo, distribution, gaussian","To evaluate Lo for images, we assume that each color component is divided into 256 bins . Note that while LT does not depend on 0, it will be close to zero ."
30,"al., equation, 9, lt-1, et, al, lvlb., ho","Equation 9 provides an efficient way to sample from an arbitrary step of the forward noising process . We can thus randomly sample t and use the expectation Et,xo,e to estimate Lvlb ."
39,"datasets, ddpm, log-likelihood, image","Ho et al. found that DDPMs can generate highfidelity samples according to FID and Inception Score . However, they were unable to achieve competitive log-likelihoods with these models . This is a widely used metric in generative modeling ."
40,"resolution, cifar-10, model, hyperparameters, fixed, architecture",ImageNet 64 x 64 and CIFAR-10 have been studied extensively in the context of generative modeling . We train fixed model architectures with fixed hyperparameters on the datasets .
41,"lsimple, setup, log-likelihood","The setup from Ho et al. achieves a log-likelihood of 3.99 on ImageNet 64 x 64 after 200K training iterations . We found that we could get a boost by increasing T from 1000 to 4000 . With this change, we use T = 4000, but"
48,"opposite, bt, steps, extremes, diffusion","Figure 1 shows that Bt and Bt are almost equal except near t = 0, i.e. where the model is dealing with imperceptible details . This suggests that in the limit of infinite diffusion steps, the choice of t might not matter at all for sample quality ."
49,"e, (xt, log-likelihood","Figure 2 shows that the first few steps of the diffusion process contribute the most to the variational lower bound . Thus, it seems likely that we could improve log-likelihood by using a better choice of E ."
69,"offset, bt, cos2, small, s","VB0 was slightly smaller than the pixel bin size 1/127.5, which gives s = 0.08 . We chose to use cos2 in particular because it is a common mathematical function with the shape we were looking for ."
