element_idx,keywords,summarized_text
4,"carlo, computer, networks, value, monte, go",The game of Go has long been viewed as the most challenging of classic games for artificial intelligence owing to its enormous search space . Here we introduce a new approach to computer Go that uses 'value networks' to evaluate board positions . These deep neural networks are trained by a novel combination of supervised learning from human expert
5,"carlo, value, monte, superhuman, performance, approximate, function","In large games, such as chess 1 and especially Go 1, exhaustive search is infeasible2,3, but the effective search space can be reduced by two general principles . First, the depth of the search may be reduced through position evaluation: truncating the search tree at state s and replacing the sub"
6,"search, tree, carlo, rollouts, children, monte","Monte Carlo tree search 11,12 is used to estimate the value of each state . As more simulations are executed, the search tree grows larger and the relevant values become more accurate . The strongest current Go programs are based on MCTS, enhanced by policies that are trained to predict human expert moves13 ."
8,"networks, neural, domain, visual, convolutional, games, atari","neural networks have achieved unprecedented performance in visual domains . For example, image classification17, face recognition 18 playing Atari games19 . We use convolutional layers to construct increasingly abstract, localized representations of an image20 ."
9,"learning, application, value, network, machine","We train the neural networks using a pipeline consisting of several stages of machine learning . This provides fast, efficient learning updates with immediate feedback and high-quality gradients . We train a reinforcement learning policy network Pp that improves the SL policy network by optimizing the final outcome of games of selfplay ."
11,"expert, learning, moves, policy, supervised, network, go",The SL policy network alternates between convolutional layers with weights . A final softmax layer outputs a probability distribution over all legal moves . The input s to the policy network is a simple representation of the board state .
18,"policy, rollout, kgs, go, server",We trained a 13-layer policy network from 30 million positions from the KGS Go Server . The network predicted expert moves on a held out test set with an accuracy of 57.0% using all input features and 55.7% using only raw board position and move history as inputs .
20,"winning, reward, current, policy, function, r(s)",Randomizing from a pool of opponents in this way stabilizes training by preventing overfitting to the current policy network . The outcome Zt=  r is the terminal reward at the end of the game from the perspective of the current player at time step t: +1 for winning and - 1 for losing
25,"search, rl, carlo, program, monte, policy, network, gs","the RL policy network won more than 80% of games against the SL policy network . We also tested against the strongest open-source Go program, Pachi14 ."
38,"perfect, state-outcome, rl, pairs, policy, network, red, play","Ideally, we would like to know the optimal value function under perfect play * . In practice, we instead estimate the value function VPP for our strongest policy ."
41,"rl, carlo, rollouts, overfitting, monte, policy, network","To mitigate this problem, we generated a new self-play data set consisting of 30 million distinct positions, each sampled from a separate game . Each game was played between the RL policy network and itself until the game terminated ."
45,"node, prior, leaf, policy, rollout, probability","the leaf position SL is processed just once by the SL policy network Po . The output probabilities are stored as prior probabilities P for each legal action a, P = Po. The leaf node is evaluated in two very different ways ."
54,"alphago, computation, value, networks","AlphaGo uses an asynchronous multi-threaded search that executes simulations on CPUs and computes policy and value networks in parallel on GPUs . The final version of AlphaGo used 40 search threads, 48 CPUs, and 8 GPUs."
58,"alphago, search, blue, asynchronous, bl, light",Vertical lines show KGS ranks achieved online by that program . Games against the human champion Fan Hui were also included . 95% confidence intervals are shown .
65,"alphago, rollout, network, evaluations","Figure 5 I How AlphaGo selected its move in an informal game against Fan Hui . For each of the following statistics, the location of the maximum value is indicated by an orange circle . a, Evaluation of all successors s' of the root position s, using the value network vo ."
66,"alphago, fan, move, hui, probabilities","e, Percentage frequency with which actions were selected from the root during simulations . The moves are presented in a numbered sequence ."
86,"alphago, stones, handicap","singlemachine AlphaGo is many dan ranks stronger than any previous Go program, winning 494 out of 495 games against other Go programs . AlphaGo won 77%, 86%, and 99% of handicap games against Crazy Stone, Zen and Pachi respectively."
87,"alphago, carlo, rollouts, evaluation, value, monte, network","We also assessed variants of AlphaGo that evaluated positions using just the value network or just rollouts . However, the mixed evaluation performed best, winning 95% of games against other variants."
90,"fan, hui","AlphaGo and Fan Hui competed in a formal five-game match . This is the first time a computer Go program has defeated a human professional player, without handicap, in the full game of Go-a feat ."
92,"search, deep, tree, program, networks, neural, go","We have developed a Go program, based on a combination of deep neural networks and tree search . The program plays at the level of the strongest human players, thereby achieving one of artificial intelligence's ""grand challenges"""
96,"alphago, value, kasparov4, network",AlphaGo evaluated thousands of times fewer positions than Deep Blue did in its chess match against Kasparov4 . The neural networks of AlphaGo are trained directly from gameplay purely through general-purpose supervised and reinforcement learning methods.
97,"alphago, networks, intelligence, value, artificial, functions","Go is exemplary in many ways of the difficulties faced by artificial intelligence33,34 . The previous major breakthrough in computer Go led to corresponding advances in many other domains ."
100,"source, engine, computing, world, open, championship, programming, monte-carlo","Artif. Intell. 134, 277-311 . Schaeffer, J. The games computers play . Advances in Computers 52, 189-266 . Buro, M. From simple features to sophisticated evaluation functions ."
101,"deep, learning, reinforcement, networks, soft, neural, convolutional, segmentation","Krizhevsky, A., Sutskever, 1. & Hinton, G. ImageNet classification with deep convolutional neural networks . In Advances in Neural Information Processing Systems, 1097-1105 . Lawrence, S., Giles, C. L., Tsoi, A"
