element_idx,keywords,summarized_text
4,"few-shot, natural, state-of-the-art, language, pal","Large language models have demonstrated an impressive ability to perform arithmetic and symbolic reasoning tasks . ProgramAided Language models : a novel approach that uses the LLM to read natural language problems and generate programs as the intermediate reasoning steps, but offloads the solution step to a runtime such as a Python"
7,"guage, lan-, reasoning, llm, large, models","Until as recently as two years ago, reasoning was considered to be one of the most significant challenges that large language models had not yet overcome . Recent LLMs have shown impressive success on a wide range of tasks, including commonsense , mathematical , and symbolic reasoning ."
8,"steps, intermediate, llm, reasoning, explicit","LLMs can decompose natural language problems into steps and perform simple arithmetic operations . In fact, even when fine-tuning a PaLM-based model on 164B tokens of explicit mathematical content, its two most common failures are ""incorrect reasoning"""
9,"language, natural, pal, programming","Program-Aided Language model is a novel method that uses an LLM to read natural language problems and generate programs as reasoning steps . This offloads the solution step to a Python interpreter, as illustrated in Figure 1 . The LLM can decompose a natural language problem into programmatic steps "
17,"symbolic, prompting, reasoning, pal, chain-of-thought, ai","We demonstrate the effectiveness of PAL across 13 arithmetic and symbolic reasoning tasks . In all these tasks, PAL outperforms much larger models such as PaLM-540B using chain-of-thought prompting . For example, on the popular GSM8K benchmark PAL achieves state-"
19,"test-time, prompting, few-shot, llm, large-language, input, models",Fewshot prompting leverages the strength of large-language models to solve a task with a set of k examples that are provided as part of the test-time input . These input-output examples ki=1 are concatenated in a prompt p  x1 
22,"of, steps, intermediate, in-context, chain, example, thought","Wei et al. augment each in-context example with chain of thought intermediate steps . Xi, ti, Yi are input-output pair as before . Yi is a natural language description of the steps that are needed to arrive at the output Yi ."
23,"ytest, answer, llm","the model is tasked with generating both the thought ttest and the final answer Ytest . This approach of prompting the model to first generate a reasoning process . During inference, the new question Xtest the prompt ."
25,"program-, model, ming, aided, natural, language, pal","In a Program-aided Language model, we propose to generate the thoughts t for a given natural language problem x . Every in-context example in PAL is a pair xi, ti, where tj = with each Si E NL U PL, a"
32,"prompts, pal, leveraging, leverage","In our experiments, we leveraged the prompts of existing work whenever available . In all cases, we augmented the free-form text prompts into PAL-styled prompts ."
33,"basket, variable, llm, names","In Section 6 we show that such meaningful variable names are critical . Notably, it is also possible to incrementally run the PL segments and feed the execution results back to the LLM to generate the following blocks ."
36,"hard, control, in-context, big-bench, examples","Data and in-context examples We experiment with three broad classes of reasoning tasks: mathematical problems from a wide range of datasets including GSM8K , SVAMP , ASDIV , and MAWPS . For all of the experiments for which CoT prompts were available, we use the same in"
49,"code, code-davinci-002, prompting, di-rect, pal","Baselines We consider three prompting strategies: DIRECT prompting . We performed greedy decoding from the language model using a temperature of 0. Unless stated otherwise, we used CODEX as our backend LLM for both PAL, DIRECT, and CoT."
53,"gsm8k, gsm8, gsm-hard, larger, number, non-integer","LLMs can generalize to larger and non-integer numbers? We constructed a harder version of GSM8K, which we call GSM-HARD . The numbers in a question were replaced with a random integer of up to 7 digits ."
55,"descriptions, hard, natural, big-bench, language, pal","COLORED OBJECTS requires answering questions about colored objects on a surface . This task requires keeping track of relative positions, absolute positions, and the color of each object . Figure 4 shows an example for a question and example PAL prompt ."
63,pal,Table 1: Problem solve rate on mathematical reasoning datasets. The highest number on each task is in bold . The results for DIRECT and PaLM-540B are from Wei et al.
66,"algorithmic, copy, word, repeat, reasoning",OBJECT COUNTING involves answering questions about the number of objects belonging to a certain type . REPEAT COPY requires generating a sequence of words according to instructions .
71,"gsm-hard, direct, gsm-h","the accuracy of DIRECT drops dramatically from 19.7% to 5.0% . The accuracy of CoT drops from 65.6% to 20.1% . PAL remains stable at 61.5%, dropping by only 14.3% ."
76,"thoughts, gsm-hard, numbers, natural, llm, large, language","In 16 out of 25 cases we analyzed, CoT generates nearly identical natural language ""thoughts"" the primary failure mode is the inability to perform arithmetic accurately ."
79,"multi-sample, methods, chain-of-thought-style, generation",We then repeated the greedydecoding experiments using nucleus sampling with p = 0.95 and k = 40 . This further increases the accuracy of PAL from 72.0% to 80.4% on GSM8K .
85,"complexity, colored, question, input, objects, pal","We examined how the performance of PAL and CoT change as the complexity of the input question grows . As the number of objects in the question increases, COT's accuracy is unstable and drops ."
91,"code-cushman-001, code-davinci-001, lm, base, weaker","We compared PAL with CoT when both prompting approaches use the same weaker base LMs code-cushman-001 and code-davinci-001 . This shows that PAL can work with weaker models, while its benefit scales elegantly to stronger models ."
92,"code, ability, modeling, text-davinci-003, text-davinci-002","PAL is not limited to LMs of natural language . PAL outperforms CoT, and PAL text-davinci-003 performs almost as PAL code . Figure 8 shows that PAL can work with LM mainly trained for natural language."
93,"pal, interpreter, prompt","We created prompts that are similar to PAL's, except that they do include the final answer . This resulted in a 23.2 solve rate on GSM8K, much lower than PAL . The main benefit of PAL comes from the synergy with the interpreter ."
100,"code, intermediate, quality, comments, nl","In COLORED OBJECTED and DATE, removing intermediate NL comments but keeping meaningful variable names slightly reduces the results compared to the full PAL prompt . Removing variable names further decreases accuracy, and performs worse than CoT ."
107,"prompting, code-generation, chain-of-thought","Methods such as chain-of-thought prompting have further unlocked a variety of reasoning tasks . PAL avoids these problems by offloading the calculation and some of the reasoning to a Python interpreter, given the right program ."
108,"code, generates, pal",PAL generates code for a Python interpreter without specialized modules and ad-hoc fixes . Chowdhery et al. have also experimented with external calculators . PAL improves Codex by 6.4% on the same benchmark .
110,"benchmark-specific, prompt, examples",a preprint of our work was submitted to arXiv . PoT only demonstrates efficacy on mathematical problems . We chose benchmark-specific prompt examples .
111,"python, context-free, sql, sql-like, parsing, semantic, grammar, pal","Semantic parsing Our work generates free-form Python code . Some works constrain the decoder using a Context-Free Grammar to generate a domainspecific meaning representation or a canonical utterance . In contrast, PAL does not require any constraining or domain-specific representations other"
