element_idx,keywords,summarized_text
4,"image, synthesis, classifier, guidance, models, diffusion","diffusion models can achieve image sample quality superior to the current state-of-the-art generative models . For conditional image synthesis, we further improve sample quality . We achieve an FID of 2.97 on ImageNet 128 x 128, 4.59 on ImagesNet 256x256, and 7.72 on Image"
12,"image, gans, state-of-the-art, generation","GANs currently hold the state-of-the-art on most image generation tasks . However, some of these metrics do not fully capture diversity ."
13,"likelihood-based, sample, gan, visual, quality, models","GANs hold the state-of-the-art, but their drawbacks make them difficult to scale and apply to new domains . However, sampling from these models is slower in terms of wall-clock time ."
14,"coverage, likelihood-based, distribution, models, diffusion","Diffusion models are a class of likelihood-based models which have recently been shown to produce high-quality images . These models generate samples by gradually removing noise from a signal, and their training objective can be expressed as a reweighted variational lower-bound . Nichol and Dhariwal found"
15,"gan, quality, models, diffusion","We hypothesize that the gap between diffusion models and GANs stems from at least two factors . First, that the model architectures used by recent GAN literature have been heavily explored and refined . Second, that a GAN is able to trade off diversity for fidelity . With these improvements, we achieve"
16,"imagenet, classifier, improved, architecture, guidance, models","In Section 2, we introduce simple architecture improvements that give a substantial boost to FID . In Section 3, we describe a method for using gradients from a classifier to guide a diffusion model during sampling . We find that a single hyperparameter can be tuned to trade off diversity for fidelity ."
19,"ratio, level, diffusion, models, noise","diffusion models sample from a distribution by reversing a gradual noising process . Each timestep t corresponds to a certain noise level, and Xt can be thought of as a mixture of a signal xo with some noise E where the signal to noise ratio is determined by the timestep"
21,"component, noise, model, xt-1, function, diffusion","A diffusion model learns to produce a slightly more ""denoised"" Xt-1 . Each sample in a minibatch is produced by randomly drawing a data sample xo, a timestep t, and noise E . The training objective is then IIE - €||2 "
22,"gaussian, predictor, noise, ea, distribution, diffusion",Ho et al. show that diffusion sampling proceeds by repeatedly predicting Xt-1 from XT . The variance of this Gaussian distribution can be fixed to a known constant .
23,"diffusion, model, lsimple, quality, image","the simple mean-sqaured error objective, Lsimple, works better in practice than the actual variational lower bound Lvlb that can be derived from interpreting the denoising diffusion model as a VAE . We often use ""diffusion models"" as shorthand to refer to both classes"
27,"hybrid, objective, obj",Nichol and Dhariwal propose a hybrid objective for training both ea and Eo using the weighted sum Lsimple + Lvlb . Learning the reverse process variances with their hybrid objective allows sampling with less steps without much drop in sample quality .
28,"noising, ddim, non-markovian, ddpm, reverse, noise","Song et al. propose DDIM, which formulates an alternative non-Markovian noising process that has the same forward marginals as DDPM . By setting this noise to 0, they provide a way to turn any model eo into a deterministic mapping from latents to images "
31,"imagenet, class, score, (is), (fid), inception, distribution",Inception Score was proposed by Salimans et al. to better capture diversity than IS . It measures how well a model captures the full ImageNet class distribution while still producing individual samples that are convincing examples of a single class .
35,"relationships, spatial, symmetric, score, inception, distribution, measure, image","FID provides a symmetric measure of the distance between two image distributions in the Inception- V3 latent space . Recently, Nash et al. proposed sFID as a version of FID that uses spatial features rather than the standard pooled features . Kynkaanniem"
36,"fid, generative, modeling, state-of-the-art, work","We use Precision or IS to measure diversity and fidelity . When comparing against other methods, we re-compute these metrics using public samples or models whenever possible . To ensure consistent comparisons, we use the entire training set as the reference batch ."
39,"imagenet, embedding, architecture, timestep, models, diffusion","Ho et al. introduced the UNet architecture for diffusion models . The UNet model uses a stack of residual layers and downsampling convolutions . In addition, they use a global attention layer at the 16x 16 resolution with a single head ."
50,"fid, helps, depth, training","FID is evaluated at two different points of training, in Table 1 . Aside from rescaling residual connections, all of the other modifications improve performance ."
