element_idx,keywords,summarized_text
3,"physical, of, approximators, bayesian, model, methods, vaes, scenes, function",Variational Autoencoders have emerged as one of the most popular approaches to unsupervised learning of complicated distributions . VAEs are appealing because they are built on top of standard function approximators . They can be trained with stochastic gradient descent .
6,"modeling, generative, image","""Generative modeling"" deals with models of distributions P, defined over datapoints X . Each ""datapoint"" has thousands or millions of dimensions . The generative model's job is to somehow capture the dependencies between pixels ."
10,"of, something, images, graphic, raw, designers, models, 3d","We could start with a database of raw images and synthesize new, unseen images . We might take in a databases of 3D models of something like plants and produce more of them to fill a forest . Tools like this might actually be useful for graphic designers ."
11,"backpropagation, approximators, function, training","training this type of model has been a long-standing problem in machine learning community . Most approaches have had one of three serious drawbacks . First, they might require strong assumptions about the structure in the data . Third, they may rely on computationally expensive inference procedures like Markov Chain Monte Carlo ."
13,"audience, bayesian, vision, methods, vaes",This tutorial is intended to be an informal introduction to VAEs . It is aimed at people who might have uses for generative models . This tutorial began its life as a presentation for computer vision reading groups .
16,"character, handwritten","the more complicated the dependencies between the dimensions, the more difficult the models are to train . Say for simplicity that we only care about modeling the digits 0-9 . If the left half of the character contains the right half of a 5 then the right . half cannot contain the left . 50% of the "
17,"probability, density, dataset, function","Formally, say we have a vector of latent variables Z in a high-dimensional space Z which we can easily sample according to some probability density function P defined over Z . f is deterministic, but if z is random and 0 is fixed, then f will be a random variable in"
19,"x, x-, x-z, f(z), distribution","In VAEs, the choice of this output distribution is often Gaussian, i.e., P = N, 2 * I . That is, it has mean f and covariance equal to the identity matrix I times some scalar 0 . This replacement is necessary to formalize the intuition"
23,"dirac, output, gradient, gaussian, delta, descent, distribution, function","In general, and particularly early in training, our model will not produce outputs that are identical to any particular X . By having a Gaussian distribution, we can increase P by making f approach X for some z, i.e. gradually making the training data more likely under the generative model "
25,"sparse, decoder, autoencoder","VAEs approximately maximize Equation 1 according to the model shown in Figure 1 . They are called ""autoencoders"" only because the final training objective that derives from this setup does have an encoder and a decoder ."
31,"of, information, dimensions, z, latent, structure","Ideally, we want to avoid deciding by hand what information each dimension of Z encodes . VAEs assume that there is no simple interpretation of the dimensions of Z, and instead assert that samples of Z can be drawn from a simple distribution, i.e., N ."
