element_idx,keywords,summarized_text
3,"progressive, probabilistic, thermodynamics, nonequilibrium, models, lossy, decompression, scheme, diffusion","Our best results are obtained by training on a weighted variational bound designed according to a novel connection between diffusion probabilistic models and denoising score matching with Langevin dynamics . On the unconditional CIFAR10 dataset, we obtain an Inception score of 9.46 and a state-of-the-art"
5,"digital, matching, networks, score, generative, gan, adversarial, image","Generative adversarial networks , autoregressive models, flows, and variational autoencoders have synthesized striking image and audio samples . there have been remarkable advances in energy-based modeling and score matching ."
12,"probabilistic, markov, parameterization, model, network, chain, diffusion","A diffusion probabilistic model is a parameterized Markov chain . Transitions of this chain are learned to reverse a diffusion process . When the diffusion consists of small amounts of Gaussian noise, it is sufficient to set the sampling chain transitions to conditional Gaussians too ."
13,"diffusion, levels, dynamics, models, noise",Diffusion models are straightforward to define and efficient to train . a certain parameterization of diffusion models reveals an equivalence with denoising score matching over multiple noise levels during training .
14,"log, likelihood, matching, score, model, diffusion","Despite their sample quality, our models do not have competitive log likelihoods compared to other likelihood-based models . We find that the majority of our models' lossless codelengths are consumed to describe imperceptible image details ."
19,"gaussian, reparameterization, forward, process, reverse, conditionals","forward process variances Bt can be learned by reparameterization or held constant as hyperparameters, and expressiveness of the reverse process is ensured in part by the choice of Gaussian conditionals in po ."
25,"gaussian, parameterization, model, variable, distribution, diffusion","Diffusion models allow a large number of degrees of freedom in implementation . We establish a new explicit connection between diffusion models and denoising score matching that leads to a simplified, weighted variational bound objective ."
29,"constants, dependent, coordinatewise, unit, variance, time","The first choice is optimal for X0  N, and the second is optimal deterministically set to one point . These are the two extreme choices corresponding to upper and lower bounds on reverse process entropy for data with coordinatewise unit variance ."
37,"function, process, dynamics, approximator, reverse, langevin",we can train the reverse process mean function approximator mu to predict t or by modifying its parameterization . We have shown that the e-prediction parameterization both resembles Langevin dynamics and simplifies the diffusion model's variational bound to an objective .
39,"gaussian, data, network, n, reverse, image","We assume that image data consists of integers in 0, 1,  , 255 scaled linearly to . This ensures that the neural network reverse process operates on consistently scaled inputs starting from the standard normal prior p ."
40,"variational, vae, bound, discretized, distributions, continuous, decoder","the variational bound is a lossless codelength of discrete data . At the end of sampling, we display noiselessly ."
47,"ncsn, edge, effects, bin, width","The t = 1 case corresponds to Lo with the integral in the discrete decoder definition approximated by the Gaussian probability density function times the bin width, ignoring 02 and edge effects . Algorithm 1 displays the complete training procedure with this simplified objective ."
48,"comparison, reweighting, reconstruction",Since our simplified objective discards the weighting in Eq. It is a weighted variational bound that emphasizes different aspects of reconstruction compared to the standard variational binding . This reweighting leads to better sample quality .
50,"evaluation, process, network, forward",We set the forward process variances to constants increasing linearly from B1 = 10-4 to BT = 0.02 . These constants were chosen to be small relative to data scaled to . We keep the signal-to-noise ratio at XT as small as possible .
53,"negative, likelihoods, cifar10, log","Table 1 shows Inception scores, FID scores, and negative log likelihoods on CIFAR10. Our unconditional model achieves better sample quality than most models in the literature . Our FID score is computed with respect to the training set ."
62,"objectives, variances, fixed, training, process, reverse","In Table 2, we show the sample quality effects of reverse process parameterizations and training objectives . The baseline option of predicting m works well only when trained on the true variational bound instead of unweighted mean squared error, a simplified objective akin to Eq . We also see that learning reverse process"
64,"generative, model, likelihood-based, cifar10, diffusion",Table 1 also shows the codelengths of our CIFAR10 models . The gap between train and test is at most 0.03 bits per dimension .
65,"lossless, model, compressors, cifar10, diffusion",Our CIFAR10 model with the highest quality samples has a rate of 1.78 bits/dim . More than half of the lossless codelength describes imperceptible distortions .
66,"lossy, progressive, compression, eq.5","Progressive lossy compression We can probe further into the rate-distortion behavior of our model by introducing a progressive lossy code that mirrors the form of Eq . Algorithms 3 and 4 assume access to a procedure, such as minimal random coding . When applied to X0 "
69,"distortion, reconstruction, test, stochastic, cifar10, set","Figure 5 shows the resulting ratedistortion plot on the CIFAR10 test set . At each time t, the distortion is calculated as the root mean squared error V ||xo - xo||2/D . The distortion decreases steeply in the low-rate region of the"
72,"progressive, 2, algorithm, generation, unconditional, decompression","Progressive generation We run a progressive unconditional generation process given by progressive decompression from random bits . In other words, we predict the result of the reverse process, x0 . Figures 6 and 10 show the resulting sample quality of xo . Large scale image features appear first and details appear last ."
