element_idx,keywords,summarized_text
4,"cvt, convolutional, transformer, vision",Convolutional vision Transformer improves Vision Transformer performance and efficiency by introducing convolutions into ViT to yield the best of both designs . This is accomplished through two primary modifications: a hierarchy of Transformers containing a new convolutional token embedding . These changes introduce desirable properties to the ViT architecture while
11,"nlp, architectures, architecture","architectures from language understanding with minimal modifications . First, images are split into discrete nonoverlapping patches . Then, these patches are treated as tokens ."
12,"cnn, transformers, tasks, vision","ViT lacks certain desirable properties inherently built into the CNN architecture that make CNNs uniquely suited to solve vision tasks . For example, images have a strong 2D local structure: spatially neighboring pixels are usually highly correlated."
17,"spatial, receptive, structure, fields, subsampling, local, hierarchical","tecture forces the capture of this local structure by using local receptive fields, shared weights, and spatial subsampling . This also achieves some degree of shift, scale, and distortion invariance ."
18,"convolutional, point, vision, floating, (flops), operations, transformer","In this paper, we hypothesize that convolutions can be strategically introduced to the ViT structure to improve performance and robustness . To verify our hypothesises, we present a new architecture, called the Convolutional vision Transformer ."
19,"spatial, convolution, self-attention, cvt, block, grid","The CvT design introduces convolutions to two core sections of the ViT architecture . First, we partition the Transformers into multiple stages that form a hierarchical structure of Transformers . The beginning of each stage consists of a convolutional token embedding that performs an overlapping convolution"
21,"performance, dynamic, attention, cvt, state-of-the-art","former employs all the benefits of CNNs: local receptive fields, shared weights, and spatial subsampling . Our results demonstrate that this approach attains state-of-the-art performance when CvT is pre-trained with ImageNet1k, while being lightweight and efficient ."
23,"convolutional, neural, cnns, transformer, networks","Transformers that exclusively rely on the self-attention mechanism to capture global dependencies have dominated natural language modelling . Recently, the Transformer based architecture has been viewed as a viable alternative to the convolutional neural networks in visual recognition tasks ."
24,"mod, multi-head, vision, self-attention, module, transformer","Vision Transformers is the first to prove that a pure Transformer architecture can attain state-of-the-art performance on image classification when the data is large enough . ViT decomposes each image into a sequence of tokens with fixed length, and then applies multiple standard Transformer layers ."
29,"position, multi-scale, encodings, conditional, tokenization",Transformer-iN- Transformer uses an outer Transformer block that processes the patch embeddings and an inner Transformer block to model both patch-level and pixel-level representation . Tokens-to-Token mainly improves tokenization in ViT by concatenating multiple tokens within a sliding window into
30,"transformer, architecture, structure","Table 1 shows the key differences in necessity of positional encodings, type of token embedding and type of projection . This work aims to achieve the best of both worlds by introducing convolutions into the Transformer architecture ."
32,"relation, global, weight, self-attention, local, architecture, backbone, networks, aggregation","the non-local networks are designed for capturing long range dependencies via global attention . The local relation networks adapts its weight aggregation based on the compositional relations between pixels/features within a local window, in contrast to convolution layers which employ fixed weights over spatially neighboring input feature ."
33,"convolutional, convolutions, projection, recognition, transformer","In NLP and speech recognition, convolutions have been used to modify the Transformer block . Other prior work proposes to propagate attention maps to succeeding layers via a residual connection . Convolutions are used to replace multihead attentions with convolution layers ."
37,"convolutional, vision, architecture, transformer, block","We introduce two convolution-based operations into the Vision Transformer architecture . Each stage has two parts: First, the input image are subjected to the Convolutional Token Embedding layer, which is implemented as a convolution with overlapping patches with tokens reshaped to the 2D spatial grid as the"
44,"token, convolutional, feature, layer, embedding, cnn, dimension","The Convolutional Token Embedding Layer allows us to adjust the token feature dimension and the number of tokens at each stage by varying parameters of the convolution operation . In this manner, in each stage we decrease the token sequence length, while increasing the token features dimension . This gives tokens the ability to represent"
47,"convolutional, self-, multi-head, projection, (mhsa), self-attention, attention, transformer, block","the proposed Transformer block with Convolutional Projection is a generalization of the original Transformer block . previous works try to add additional convolution modules to the Transformer Block . Instead, we propose to replace the original position-wise linear projection for Multi-Head Self-Attention with depth-wise separable con"
49,"token, convolutional, projection, linear, map","Figure 3 shows the original position-wise linear projection used in ViT . The tokens are first reshaped into a 2D token map . Next, a Convolutional Projection is implemented using a depth-wise separable convolution layer ."
58,"convolutional, s, convolution, projection, standard, x","Directly using standard s x s convolutions for the Convolutional Projection would require s2C2 parameters and O FLOPs, where C is the token channel dimension, and T is the number of tokens for processing . In this way, each of the proposed convolutional projection would only"
