element_idx,summarized_text,keywords
4,"semantic segmentation methods adopt a fully-convolutional network with an encoderdecoder architecture . The encoder progressively reduces the spatial resolution and learns more abstract/semantic visual concepts with larger receptive fields . Since context modeling is critical for segmentation, the latest efforts have been focused","sequence, to, segmentation, fcn, fully-convolutional, network, semantic, prediction"
8,"feature representation learning is arguably the most important model component . The encoder, like most other CNNs designed for image understanding, consists of stacked convolution layers . Due to computational cost, the resolution of feature maps is reduced progressively .","concept, understanding, visual, image, cnn"
9,"a number of approaches have been introduced recently . One is to directly manipulate the convolution operation . This includes large kernel sizes , atrous convolutions , and image/feature pyramids . The other approach is to integrate attention modules into the FCN architecture .","segmenta-, model, fcn, semantic, tion, attention-alone, attention, module"
13,"In this paper, we propose to replace the stacked convolution layers based encoder with gradually reduced spatial resolution with a pure transformer . This transformer-alone encoder treats an input image as a sequence of image patches represented by learned patch embedding, and transforms the sequence with global self-attention modeling .","segmentation, semantic, model, trans-former"
14,a pure vision transformer or ViT has shown to be effective for image classification tasks . It provides direct evidence that the traditional stacked convolution layer design can be challenged and image features do not necessarily need to be learned progressively from local to global context by reducing spatial resolution .,"spatial, pure, task, natural, language, location, processing, sensitive, transformer"
15,"We reformulate the image semantic segmentation problem from a sequence-to-sequence learning perspective . As an instantiation, we exploit the transformer framework to implement our fully attentive feature representation encoder by sequentializing images . Extensive experiments show that our SETR models can learn superior feature representations as ","problem, model, feature, segmentation, fcn, attentive, semantic, representation"
17,"Semantic image segmentation has been significantly boosted with the development of deep neural networks . By removing fully connected layers, the fully convolutional network is able to achieve pixel-wise predictions .","convolutional, segmentation, fcn, fully, network, semantic"
18,DeepLab and Dilation introduce the dilated convolution . The latter proposes the PPM module to obtain different region's contextual information . Decomposed large kernels are also used for context capturing .,"spatial, dilated, modeling, context, convolution, fcn, attention"
19,Non-local network appends transformer style attention onto the convolutional backbone . LRNet and standalone networks explore local self-attention . Axial-Attention decomposes the global spatial attention into two separate axial attentions .,"machine, self-attention, convolution, translation"
23,STTR and LSTR adopt transformer for disparity estimation and lane shape prediction respectively. ViT is the first work to show that a pure transformer based image classification model can achieve the state-of-the-art .,"head, pure, transformer, detection"
24,"The most related work is which also leverages attention for image segmentation . However, there are several key differences . First, though convolution is completely removed in as in our SETR, their model still follows the conventional FCN design in that spatial resolution of feature maps is reduced progressively . Second, to maximize the s","image, fcn, self-attention, segmentation"
28,The input of subsequent layer i is a three-dimensional tensor sized h x w . d is the feature/channel dimension of feature maps . Locations are computed based on the locations of all lower layers they are connected to via layerby-layer convolutions .,"size, receptive, image, fcn, architecture, fields"
29,a number of state-of-the-art methods suggest that combing FCN with attention mechanism is a more effective strategy for learning long-range contextual information . These methods limit attention learning to higher layers with smaller input sizes alone due to its quadratic complexity w.r.t. the pixel number of feature,"methods, mechanism, state-of-the-art, attention"
32,Image to sequence SETR follows the same input-output structure as in NLP . There thus exists a mismatch between 2D image and 1D sequence .,"nlp, sequence, structure, input-output"
33,"A simple way for image sequentialization is to flatten the image pixel values into a 1D vector with size of 3HW . Given the quadratic model complexity of Transformer, it is not possible that such high-dimensional vectors can be handled in both space and time .","image, sequentialization"
35,To obtain the 256 image x E RHxWx3 H W into a grid of x patches uni16 16 formly . By further mapping each vectorized patch p into the latent Cdimensional embedding space using a linear projection function f: p  e E ,"image, hw, embedding, space, x"
36,"Transformer Given the 1D embedding sequence E as input, a pure transformer based encoder is employed to learn feature representations . At each layer l, the input to self-attention is in a triplet of computed from the input Zl-1 E RLxC as:","multi-head, fcn, perceptron, self-attention, multilayer, transformer"
42,"to evaluate the effectiveness of SETR's encoder feature representations Z, we introduce three different decoder designs to perform pixel-level segmentation . We need to reshape the encoder's features, Z, from a 2D shape of HW C to a standard 3D feature map","setr, segmentation, pixel-level"
43,"Naive upsampling This naive decoder first projects the transformer feature ZLe to the dimension of category number . After that, we simply upsample the output to the full image resolution .","cityscape, feature, naive, upsampling, transformer"
44,"Progressive UPsampling Instead of one-step upscaling, we consider a progressive strategy that alternates conv layers . To maximize the adversarial effect, we restrict upsamping to 2x . We denote our model as SETR-PUP .","progressive, pup, strategy, upsampling"
52,"In each stream, we first reshape the encoder's feature Zl from a 2D shape of HW C to a x 256 H W 3-layer network is applied with the feature channels halved at the first and third layers respectively . The spatial resolution upscaled 4x by","size, kernel, design, addition, element-wise, 3, aggregation"
61,"We set batch size 16 and the total iteration to 160,000 and 80,000 for the experiments on ADE20K and Pascal Context . We adopt a polynomial learning rate decay schedule and employ SGD as the optimizer . Momentum and weight decay are set to 0.9 and 0 respectively for all","augmentation, sch, data, training"
