element_idx,summarized_text,keywords
3,"ImageNet classification is the de facto pretraining task for these models . Yet, ImageNet is now nearly ten years old and is by modern standards ""small"" In this paper, we present a unique study of transfer learning with large convolutional networks trained to predict hashtags .","imagenet, hashtag, learning, large-scale, transfer"
5,"Pretrain a convolutional network on a large, manually annotated image classification dataset . This formula has been in wide use for several years . In fact, it is SO effective that it would now be considered foolhardy not to use supervised pretraining .","image, perception, classification, visual"
6,the ImageNet dataset is the de facto pretraining dataset . There are studies analyzing the effects of various ImageNet pretraining factors on transfer learning or the use of different datasets that are of the same size magnitude magnitude as ImageNet .,"imagenet, transfer, dataset, learning"
10,data source has potential disadvantages: hashtags may be too noisy to serve as an effective supervisory signal . it is not obvious that training on this data will yield good transfer learning results .,"source, distribution, image, data"
11,"Models trained on billions of Instagram images using thousands of distinct hashtags exhibit excellent transfer learning performance . For example, we observe improvements over the state-of-the-art for image classification and object detection . Our primary goal is to contribute novel experimental data about this previously unexplored regime .","phisticated, imagenet-1k, images, collecting, data, state-of-the-art, cleaning"
15,The canonical hashtags are used as labels for training and evaluation . We select a set of hashtags that are tagged with at least one of these hashtags .,"wordnet, synsets"
21,We use approximate image and label counts for convenience . We omit the role and image count when it is clear from context or not useful to present .,"i, instagram, i-l"
22,The hashtag set sizes are measured after merging the hashtags into their canonical forms . We hypothesize that the first set has a visual distribution similar to IN-1k . The other two represent more general visual distributions covering fine-grained visual categories .,"instagram, distribution, data, visual"
23,5% of the images in the val-CUB-6k200 set also appear in train-IN-1M-1k . 1.78% of images in VAL-IN-50k-1k set are in the JFT-300M training set . We compute R-MAC features for all candidate images using a,"deduplication, features, training, image, r-mac"
26,"Our datasets have two nice properties: public visibility and simplicity . To see what it looks like, the images are browsable by hashtag at https : 1 . Our data is also taken from the ""wild"" .","brownbear, public, visibility"
28,"despite our efforts to make the dataset content transparent, we acknowledge that, similar to JFT-300M, it is not possible for other research groups to know exactly which images we used nor to download them en masse . However, we believe that it is better if we undertake this study and share the results with the community","content, jft-300m, trans-parent, process, dataset"
30,"In addition to the standard IN-1k dataset, we experiment with larger subsets of the full ImageNet 2011 release that contains 14.2M images and 22k labels . For the 9k label set, we follow the same protocol used to construct IN-5k . In all cases, we use 50 images per class for validation ","in-1k, validation, sets"
34,Train-IG-1B-17k contains 2 hashtags per image . The target is a vector with k non-zero entries each set to 1/k .,"softmax, activation, distribution, imagenet"
37,"Our models are trained by synchronous stochastic gradient descent on 336 GPUs across 42 machines with minibatches of 8,064 images . Each GPU processes 24 images at a time and batch normalization statistics are computed on these 24 image sets . Our ResNeXt-101 32x16d networks took","stochastic, (sgd), number-of-images-processed, synchronous, descent, gfd, gradient"
38,"To set the learning rate, we follow the linear scaling rule with gradual warmup described in . We use a warm-up from 0.1 up to 0.1 /256 x 8064, where 0.1 and 256 are canonical learning rate and minibatch sizes . The same settings are used when training on","warm-up, learning, rate, reduction, schedule"
40,"In our experiments, we pretrain convolutional networks for hashtag prediction and transfer those networks to a variety of tasks . There are two established protocols for judging the quality of a pretrained model .","hashtag, task, source, prediction"
42,Full network finetuning views pretraining as sophisticated weight initialization . The success of pretraining is judged by its impact on the target task . feature transfer uses pretrained network as a feature extractor .,"finetuning, weight, sophisticated, initialization"
43,"Full network finetuning is performed by removing the hashtag-specific fully connected classification layer from the network and replacing it with a randomly initialized classification layer with one output per class in the target task . This modified network is then trained using SGD with momentum . To do this, we randomly hold out a small portion","finetuning, validation, network, layer, set, classification"
47,"Our first experiment varies the Instagram hashtag sets used in pretraining whilst keeping other factors constant . We compute transfer learning results as top-1 classification accuracy on five target datasets . For baseline models, we use train-IN-1k as the baseline source task . Full network finetuning of ResNeXt","val-places-365, imagenet, val-cub-200, val-in-9k, val-in-1k, classification"
53,Model pretrained with IN-1k-aligned 1.5k hashtag set outperforms source networks trained on larger hashtag sets . This trend reverses as the number of target ImageNet classes increases . Source models trained with the largest hashtag sets perform the best .,"source, imagenet, architecture, networks"
54,We measure the rectified classification accuracy of this model on val-IN-1k . We present all incorrect classifications to five human annotators .,"ig-3.5b, ig-3.5b-17k"
55,"This experiment studies the relationship between the number of images used in Instagram pretraining and classification accuracy on the target task . For these experiments, we train a linear classifier and keep the pretrained network weights fixed . We make this choice because the effect of pretraining is small .","task, image, accuracy, target, pretraining, classification"
60,Figure 2 shows the classification accuracy on ImageNet validation sets as a function of the number of Instagram training images ranging from 3.5M to 3.5B images . The figures correspond to ImageNet target tasks with three different capacities and CUB2011 .,"validation, imagenet, sets, accuracy, classification"
65,the lines corresponding to ResNeXt-101 32x 16d networks are steeper . This result suggests that current network architectures are prone to underfitting . We also observe log-linear scaling break down in two regimes .,"log-linear, scaling, accuracy, network, architecture"
66,"In-1k, networks pretrained on the target-taskaligned 1.5k hashtags outperform those trained using a larger hashtag vocabulary . However, as the matching between hashtag vocabulary and target classes disappears and the visual variety in the transfer task increases . on IN-9k, the difference in accuracy between networks trained on","task, imagenet, hashtag, synsets, transfer, vocabulary"
67,The highest accuracies on val-IN-1k are 83.3% . The results are obtained by training a linear classifier on fixed features . These results are nearly as good as full network finetuning .,"ig-940m-1k, ig-940m"
68,"To test whether the above observations generalize to fine-grained classification, we repeated the experiments on the CUB2011 dataset, and show the results in Figure 2 bottom right . The curves reveal that when training data is limited, the 1.5k hashtag dataset is better, but once the number of training images surpasses 100","visual, distribution, bottom, right, cub2011, classification, fine-grained"
69,"a major difference between hashtag supervision and the labels provided in datasets such as ImageNet is that hashtag supervision is inherently noisy . To do SO, we pretrain ResNeXt-101 32x16d networks on a version of IG-1B-17k in which we randomly replaced p% of the hashtag","model, imagenet, hashtag, accuracy, supervision"
76,"we only train the final linear classifier on the target task, because full finetuning may mask the damage caused by pretraining noise . The results suggest that networks are resilient against label noise: a noise level of p = 10% leads to a loss of less than 1% in classification accuracy .","pretraining, noise, label"
77,Prior studies in language modeling found that resampling Zipfian distributions reduces the impact of the head of the word distribution on the overall training loss . We perform experiments in which we evaluate three different types of data sampling in the Instagram pretraining .,"imagenet, hashtag, instagram, sampling, square-root"
