element_idx,summarized_text,keywords
4,"The ViT model splits each image into a sequence of tokens with fixed length and then applies multiple Transformer layers to model their global relation for classification . However, ViT achieves inferior performance to CNNs when trained from scratch on a midsize dataset like ImageNet . To overcome such limitations, we propose a new","t2t-vit, transformer, vision, imagenet"
10,Vision Transformer is the first full-transformer model that can be directly applied for image classification . ViT splits each image into 14x 14 or 16 x 16 patches with fixed length .,"super-, image, vision, processing, resolution, transformer"
11,ViT proves the full-transformer architecture is promising for vision tasks . but its performance is still inferior to that of similar-sized CNN counterparts .,"tasks, image, structure, vision, cnn, local"
16,the vanilla ViT ignores the local structure when directly splitting images to tokens with fixed length . This means that the backbone of ViT is not efficient as ResNets .,"vit, layer, bottom, structure"
17,"We propose a progressive tokenization module to aggregate neighboring Tokens to one Token . In each Token-to-Token step, the tokens output by a transformer layer are reconstructed as an image which is then split into tokens with overlapping . Thus the local structure from surrounding patches is embedded","full-transformer, vision, design, architecture, tokenization"
18,"Wide-ResNets , DenseNet , ResneXt structure , Ghost operation and channel attention . We find deep-narrow structure is the most efficient and effective for ViT .","transformers, structure, vision, deep-narrow, design, backbone"
19,"Our T2T-ViT with 21.5M parameters and 4.8G MACs can achieve 81.5% top-1 accuracy on ImageNet, much higher than that of ViT with 48.6M parameters . This result is also higher than the popular CNNs of similar size, like ResNet50 with 25.5","module, t2t-vit, imagenet"
20,Visual transformers can outperform CNNs at different complexities on ImageNet without pretraining on JFT-300M . We develop a novel progressive tokenization for ViT .,"t2t, imagenet, visual, transformers, module"
23,Transformers in Vision Transformers are the models that rely on the self-attention mechanism to draw global dependencies between input and output . Recent works have explored applying transformers to various vision tasks . The Vision Transformer proves that a pure Transformer architecture can also attain state-of-the-art performance on image classification .,"mlp, imagenet, image, vision, classification, transformer, block"
24,"the SE block applies attention to channel dimensions and non-local networks . Compared with most of the works exploring global attention on images, some works also explore self-attention in a local patch to reduce the memory and computation cost .","san, module, cnn"
28,"To overcome the limitations of simple tokenization and inefficient backbone of ViT, we propose Tokens-to-Token Vision Transformer which can progressively tokenize the image to tokens . We adopt a deep-narrow structure for the backbone to reduce redundancy .","tokenization, t2t-vit, backbone"
35,"Soft Split After obtaining the image I, we apply the soft split on it to model local structure information and reduce length of tokens . To avoid information loss in generating tokens from the restructurizated image, we split it into patches with overlapping . Each patch is correlated with surrounding patches .","image, split, soft, re-structurized"
40,"To address the limitations, we set the channel dimension of the T2T layer small to reduce MACs . We optionally adopt an efficient Transformer such as Performer layer to reduce memory usage at limited GPU memory.","mac, limitation, layer, macs, transformer"
42,"We explore different architecture designs for ViT and borrow some designs from CNNs . Each transformer layer has skip connection as ResNets, or apply Wide-ResNets or ResNeXt structure to change the channel dimension and head number in the backbone of vanilla ViT .","backbone, architecture, design"
44,We conduct extensive experiments on the structures transferring in Sec. 4.2 . We empirically find that 1) by adopting a deep-narrow structure that simply decreases channel dimensions to reduce the redundancy in channels . 2) the channel attention as SE block also improves ViT but is less effective than using the deepn,"transferring, structure, deep-narrow"
