element_idx,summarized_text,keywords
6,We introduce a teacher-student strategy specific to transformers . It relies on a distillation token ensuring that the student learns from the teacher through attention . We show the interest of this token-based distillation .,"convnet, transformers"
8,"Convolutional neural networks have been the main design paradigm for image understanding tasks . One of the ingredient to their success was the availability of a large training set, namely Imagenet .","understanding, convolutional, tasks, neural, image, networks"
15,"In this paper, we train a vision transformer on a single 8-GPU node in two to three days that is competitive with convnets having a similar number of parameters and efficiency . We build upon the visual transformer architecture from Dosovitskiy et al.","image, transformer, vision, data-efficient"
19,"We show that our neural networks that contains no convolutional layer can achieve competitive results against the state of the art on ImageNet with no external data . We introduce a new distillation procedure based on a distillation token, which plays the same role as the class token, except that it aims at reproducing the label","token, imagenet, image, distillation, transformer"
20,This paper is organized as follows: we review related works in Section 2 and focus on transformers for image classification in Section 3 . The experimental section 5 provides analysis and comparisons against both convnets and recent transformers . Section 6 details our training scheme .,"data-efficient, training, image, transformer, classification"
22,Image Classification is so core to computer vision that it is often used as a benchmark to measure progress in image understanding . Any progress usually translates to improvement in other related tasks such as detection or segmentation .,"image, understanding, vision, computer"
23,"hybrid architectures that combine convnets and transformers have recently exhibited competitive results in image classification , detection , video processing , unsupervised object discovery , and unified text-vision tasks .","image, transformers, classification"
26,Recently Vision transformers closed the gap with the state of the art on ImageNet without using any convolution . This performance is remarkable since convnet methods for image classification have benefited from years of tuning and optimization .,"imagenet, convolution, vision, transformer"
27,"Transformer architecture, introduced by Vaswani et al. for machine translation, are currently the reference model for all natural language processing tasks . For example, Squeeze and Excitation , Selective Kernel and Split-Attention Networks exploit mechanism akin to transformers self-attention mechanism.","nlp, transformer, architecture"
28,"Knowledge Distillation , introduced by Hinton et al., refers to the training paradigm in which a student model leverages ""soft"" labels coming from a strong teacher network . This is the output vector of the teacher's softmax function rather than just the maximum of scores, wich gives ","convolutional, model, way, label, kd, soft"
34,"Multi-head self-attention layer is defined by considering h attention ""heads"" Each head provides a sequence of size N x d . These h sequences are rearranged into a N X dh sequence .","self-, self-attention, layer, multi-head"
35,FFN is composed of two linear layers separated by a GeLu activation . The second layer reduces the dimension from 4D back to D . Both MSA and FFN are operating as residual operators .,"image, transformer, block, ffn"
36,"In order to get a transformer to process images, our work builds upon the ViT model . The fixed-size input RGB image is decomposed into a batch of N patches of a fixed size of 16 x 16 pixels . Each patch is projected with a linear layer that conserves its overall dimension 3 ","input, model, image, vit, transformer, block"
