element_idx,summarized_text,keywords
9,"Pyramid Vision Transformer is a ""columnar"" structure specifically designed for image classification . Many CNN backbones use a pyramid structure for dense prediction tasks such as object detection .","structure, vision, pyramid, columnar, transformer, cnn"
11,"Unlike the recentlyproposed Vision Transformer, we introduce the Pyramid Vision Transformer . PVT has several merits compared to current state of the arts . Different from ViT that typically yields lowresolution outputs .","convolutional, neural, vision, network, backbone, transformer, networks"
13,"ous vision tasks without convolutions can be used as a direct replacement for CNN backbones . We validate PVT through extensive experiments, showing that it boosts the performance of many downstream tasks . For example, with a comparable number of parameters, PVT+RetinaNet achieves 40.4 AP","tasks, vision, backbone, pvt, cnn"
21,"researchers have explored its application in computer vision . For example, some works model the vision task as a dictionary lookup problem with learnable queries . Others use the Transformer decoder as an task-specific head on top of the CNN backbone .","natural, language, vision, processing, transformer, computer"
22,Dosovitskiy et al. introduced the Vision Transformer for image classification . This is an interesting and meaningful attempt to replace the CNN backbone with a convolution-free model .,"image, vision, cnn, transformer, classification"
25,"Pyramid Vision Transformer can serve as an alternative to the CNN backbone in many downstream tasks, including image-level prediction and pixel-level dense predictions . Our PVT overcomes the difficulties of the conventional Transformer by taking fine-grained image patches as input to learn high-resolution representation, which is essential for dense prediction tasks ","image-level, vision, prediction, pyramid, pvt, transformer"
26,"PVT always produces a global receptive field, which is more suitable for detection and segmentation . To our knowledge, this is the first entirely convolution-free object detection pipeline .","pipeline, structure, convolution-free, backbones, pyramid, struc, cnn"
30,PVT-Small achieves 40.4 AP on COCO val201 7 . We compare it with popular ResNets and ResNeXts .,"image, segmentation, resnexts, semantic, resnet, classification"
34,"The standard CNN was first introduced in to distinguish handwritten numbers . The model contains convolutional kernels with a certain receptive field that captures favorable visual context . To provide translation equivariance, the weights of convolutionals are shared over the entire image space .","visual, neural, recognition, deep, networks, cnn"
38,CNNs have become the dominant framework for object detection . Most of these popular object detectors are built on high-resolution or multi-scale feature maps .,"learning, deep, detector, detection, object, cnn, multi-stage"
40,"Semantic Segmentation introduced a fully convolutional architecture to generate a spatial segmentation map for a given image of any size . After that, the deconvolution operation was introduced by Noh et al.","image, segmentation, semantic, fpn, cnn"
42,The non-local block attempts to model long-range dependencies in space and time . Criss-cross further reduces the complexity by generating sparse attention maps through a crisscross path .,"filter, convolutional, dynamic, self-attention, layer, cnn"
