element_idx,summarized_text,keywords
5,"Segment Anything project: a new task, model, and dataset for image segmentation . We built the largest segmentation dataset to date with over 1 billion masks on 11M licensed and privacy respecting images .","task, numerous, image, segmentation, loop, segment, data, collection, anything"
7,"Large language models pre-trained on web-scale datasets revolutionize NLP . These ""foundation models"" can generalize to tasks and data distributions . This capability is often implemented with prompt engineering .","nlp, text, hand-crafted"
9,"ALIGN and CLIP use contrastive learning to train text and image encoders that align the two modalities . Once trained, engineered text prompts enable zero-shot generalization to novel visual concepts and data distributions .","concept, visual, image, vision, generation, computer"
15,"We define a promptable segmentation task that is general enough to provide a powerful pretraining objective . This task requires a model that supports flexible prompting and can output segmentation masks in realtime . To train our model, we need a diverse, large-scale source of data .","task, segmentation, engine, masks, data"
16,"In NLP and computer vision, foundation models are a promising development that can perform zero-shot and few-shot learning for new datasets and tasks often by using ""prompting"" techniques . We use the promptable segmentation task as both a pre-training objective and to solve general downstream segmentation tasks via prompt engineering","task, model, segmentation, nlp, foundation"
17,"The promptable segmentation task and the goal of real-world use impose constraints on the model architecture . The model must support flexible prompts, needs to compute masks in amortized real-time to allow interactive use . We refer to this model as the Segment Anything Model, or SAM .","segmentation, task, sam"
18,"Data engine has three stages: assisted-manual, semi-automatic, and fully automatic . In the first stage, SAM assists annotators in annotating masks . We prompt SAM with a regular grid of foreground points .","segmentation, mask, engine, data, diversity, sam"
19,"SA-1B, collected fully automatically using the final stage of our data engine, has 400x more masks than any existing segmentation dataset . As we verify extensively, the masks are of high quality and diversity .","segmentation, sa-1b, final, dataset"
20,"Images in SA-1B span a geographically and economically diverse set of countries . We found that SAM performs similarly across different groups of people . Together, we hope this will make our work more equitable for real-world use cases.","fairness, concerns, sam, potential"
21,"SAM produces high-quality masks from a single foreground point, often only slightly below that of the manually annotated ground truth . Second, we find consistently strong quantitative and qualitative results on a variety of downstream tasks under a zero-shot transfer protocol . These results suggest that SAM can be used out","edge, sam, detection"
29,"The promptable segmentation task is to return a valid segmentation mask given any prompt . The requirement of a ""valid"" mask simply means that even when a prompt is ambiguous, the output should be a reasonable mask for at least one of those objects .","segmentation, nlp, task"
30,The promptable segmentation task suggests a natural pre-training algorithm . We adapt this method from interactive segmentation . This ensures that a pre-trained model is effective in use cases that involve ambiguity .,"segmentation, interactive, mask, pre-training, valid"
31,"our pre-training task endows the model with the ability to respond appropriately to any prompt at inference time . In general, a wide array of practical segmentation tasks can be cast as prompting .","in-stance, segmentation, cat, zero-shot, transfer"
35,"This capability is a form of task generalization . In a multi-task system, a single model performs a fixed set of tasks . The training and test tasks are the same .","combined, task, segmentation, model"
36,"Prompting and composition are powerful tools that enable a single model to be used in extensible ways, potentially to accomplish tasks unknown at the time of model design . This approach is analogous to how other foundation models are used, e.g., how CLIP is the text-image alignment component of the DALL","prompting, segmentation, image, clip, dall·e, promptable, generation"
44,"Mask decoder uses prompt self-attention and cross-attention in two directions to update all embeddings . After running two blocks, we upsample the image embedder and an MLP maps the output token to a dynamic linear classifier .","mlp, image, mask, embedding, decoder"
45,"Model will average multiple valid masks if given an ambiguous prompt . To address this, we modify the model to predict multiple mask outputs . We found 3 mask output is sufficient to address most common cases .","resolving, output, multiple, masks, ambiguity"
48,We supervise mask prediction with the linear combination of focal loss and dice loss used in . We train for the promptable segmentation task using a mixture of geometric prompts .,"loss, geometric, training, prompts, focal"
50,"the data engine has three stages: a model-assisted manual annotation stage, a semi-automatic stage with a mix of automatically predicted masks . a fully automatic stage in which model generates masks without annotator input .","segmentation, mask, engine, masks, data"
51,Professional annotators label masks by clicking foreground / background object points using a browser-based interactive segmentation tool powered by SAM . Our model-assisted annotation runs in real-time enabling a truly interactive experience . We did not impose semantic constraints for labeling objects .,"segmentation, interactive, tool, browser-based, sam"
53,"After sufficient data annotation, SAM was retrained using only newly annotated masks . Average annotation time per mask decreased from 34 to 14 seconds as the model improved . Overall, we collected 4.3M masks from 120k images .","segmentation, public, common, sam, datasets"
54,"In this stage, we aimed to increase the diversity of masks in order to improve our model's ability to segment anything . To detect confident masks, we trained a bounding box detector on all first stage masks using a generic ""object"" category .","confident, masks, automatic, segment, stage, anything"
