element_idx,summarized_text,keywords
3,"We present a residual learning framework to ease training of networks that are substantially deeper than those used previously . We explicitly reformulate the layers as learning residual functions with reference to the layer inputs, instead of learning unreferenced functions . An ensemble of these residual nets achieves 3.57% error on the ImageNet test set","2015, inputs, task, imagenet, layer, residual, ilsvrc, networks, classification"
4,We obtain a 28% relative improvement on the COCO object detection dataset . Deep residual nets are foundations of our submissions to ILSVRC & COCO 2015 competitions1 .,"visual, recognition, representations, deep, ilsvrc"
6,Deep convolutional neural networks have led to a series of breakthroughs for image classification . Deep networks naturally integrate low/mid/highlevel features and classifiers in an end-to-end multilayer fashion .,"image, depth, breakthroughs, network, classification"
11,vanishing/exploding gradients hamper convergence from the beginning . This problem has been addressed by normalized initialization and intermediate normalization layers . Normalization layers enable networks with tens of layers to start converging .,"better, depth, stacking, descent, networks, gradient"
12,"Unexpectedly, such degradation is not caused by overfitting . adding more layers to a suitably deep model leads to higher training error .","problem, deeper, error, train-ing, degradation, networks"
13,"degradation indicates that not all systems are similarly easy to optimize . There exists a solution by construction to the deeper model: the added layers are identity mapping, and the other layers are copied from the learned shallower model .","shallower, training, accuracy, architecture, degradation, of"
19,"In this paper, we address the degradation problem by introducing a deep residual learning framework . Formally, we let the stacked nonlinear layers fit another mapping of F := H - X. The original mapping is recast into F +x .","problem, framework, learning, residual, degradation"
20,Shortcut connections are those skipping one or more layers . Identity shortcut connections add neither extra parameter nor computational complexity . The entire network can still be trained end-to-end by SGD with backpropagation .,"+, identity, f(x), connections, shortcut, x"
21,"We present comprehensive experiments on ImageNet to show the degradation problem . Our extremely deep residual nets are easy to optimize, but the counterpart ""plain"" nets exhibit higher training error when the depth increases.","imagenet, problem, degradation"
24,ImageNet test set won the 1st place in the ILSVRC 2015 classification competition . The highly deep representations also have excellent generalization performance on other recognition tasks . This strong evidence shows that the residual learning principle is generic .,"2015, learning, competition, principle, residual, ilsvrc"
26,Fisher Vector can be formulated as a probabilistic version of VLAD . Both are powerful shallow representations for image retrieval and classification .,"image, vector, recognition, representations, residual, fisher"
