element_idx,summarized_text,keywords
4,Co-scale conv-attentional image Transformers is a Transformer-based image classifier . The co-scale mechanism maintains the integrity of Transformers' encoder branches at individual scales . We design a series of serial and parallel blocks to realize the mechanism .,"image, transformers, co-scale, conv-attentional"
6,"In the past, state-of-the-art image classifiers have been built on convolutional neural networks that operate on layers of filtering processes . Recent developments however begin to show encouraging results for Transformer-based image classifications .","mechanisms, intelligence, artificial, attention, transformer"
11,"the receptive field at each token in self-attention readily covers the entire input space . the selfattention operation for each token computes a dot product between the ""query"" and the ""key""","token, tokens, convolution, cnn"
12,"convolution and self-attention operations perform weighted sums . The weights are learned during training but fixed during testing . As a consequence, the self-similarity operation in the selfattention mechanism provides modeling means that are potentially more adaptive and general than convolution operations.","operation, convolution, self-similarity"
14,"Transformers has mainly focused on natural language processing tasks since text is ""shorter"" than an image . In computer vision, self-attention has been adopted to provide modeling capability for various applications .","self-attention, operation, vision, computer"
15,"Transformers are adopted to perform object detection and panoptic segmentation, but DETR still uses CNN backbones to extract the basic image features . In this paper, we develop Co-scale conv-attentional image Transformers by introducing two mechanisms of practical significance to Transformer-based image classifiers .","image, modelling, classifiers, cnn"
16,"Two types of building blocks are developed, namely a serial and a parallel block, realizing fine-to-coarse, coarseto-fine, and cross-scale image modeling . We design a conv-attention module to realize relative position embeddings with convolutions .","image, co-scale, transformers, modeling"
17,CoaT achieves state-of-the-art classification results when compared with competitive convolutional neural networks . Our resulting image Transformers learn effective representations under a modularized architecture .,"convolutional, neural, image, transformers, competitive, networks"
21,CoaT models shown in the experiments are based on two of our new designs in Transformers: a co-scale mechanism that allows cross-scale interaction; a conv-attention module to realize an efficient self-attention operation .,"conv-like, transformers, co-scale, operations, conv-attentional"
22,Multi-scale approaches have a long history in computer vision . U-Net enforces an extra coarse-to-fine route . HRNet provides a further enhanced modeling capability . CoaT consists of a series of highly modularized serial and parallel blocks .,"modeling, multi-scale, vision, co-scale, computer"
25,"Transformers take as input a sequence of vector representations X1, ..., XN, or equivalently X E RNxC The self-attention mechanism in Transformers projects each Xi into corresponding query, key, and value vectors . The scaled dot-product attention from original Transformer","transformers, value, vectors"
26,"In vision Transformers, the input sequence of vectors is formulated by the concatenation of a class token CLS and the flattened feature vectors X1,  ., XHW as image for a total tokens from the feature maps F E RHxWxC .","image, co-scale, multi-scale, representation"
34,"the scaling factor 1 / VC is implicitly included in the weight initialization . The factorized attention follows is not a direct approximation of the scaled dot-product attention, but it can still be regarded as a generalized attention mechanism modeling the feature interactions .","lambdanets, softmax(·)"
40,"Without the position encoding, the Transformer is only composed of linear layers and self-attention modules . Thus, the output of a token is dependent on the corresponding input without awareness of any difference in its locally nearby features . This property is unfavorable for vision tasks such as semantic segmentation .","layers, linear, self-attention, modules, layer, transformer"
41,ViT and DeiT insert absolute position embeddings into the input . We can integrate a relative position encoding M-1 M21  with window size P = Pi E RC .,"position, convolutional, encoding, relative, embedding"
47,Convolutional Relative Position Encoding works in standard scaled dot-product attention settings since the encoding matrix E is combined with the softmax logits in the attention maps .,"relative, convolutional, position, encoding"
50,LambdaNets uses a 3-D convolution to compute EV directly and reduce channels of queries and keys to CK where CK  C is large . Our factorized attention computes EV with only O space complexity and O time complexity .,"time, convolution, lambdanets, depth-wise, complexity"
51,"Convolutional relative position encoding models local position-based relationships between queries and values . In each conv-attentional module, we insert a depthwise convolution into the input features X and concatenate the resulting position-aware features back to the output features .","position, convolutional, encoding, relative, conditional"
