element_idx,summarized_text,keywords
4,"This paper presents a new vision Transformer, called Swin Transformer, that serves as a general-purpose backbone for computer vision . Challenges arise from differences between the two domains, such as large variations in the scale of visual entities and the high resolution of pixels in images compared to words in text . To address these","swin, transformer, vision, backbone"
12,"Designed for sequence modeling and transduction tasks, the Transformer is notable for its use of attention to model long-range dependencies in the data . Its tremendous success in the language domain has led researchers to investigate its adaptation to computer vision .","network, architecture, vision"
16,"Unlike the word tokens that serve as the basic elements of processing in language Transformers, visual elements can vary substantially in scale . One difference is the much higher resolution of pixels in images compared to words in passages of text . To overcome these issues, we propose a generalpurpose Transformer backbone, called Swin Transformer","swin, visual, vision, backbone, transformer, domain"
17,"Swin Transformer shifts the window partition between consecutive self-attention layers . The shifted windows bridge the windows of the preceding layer, providing connections between them that significantly enhance modeling power . This strategy is also efficient in regards to real-world latency: all query patches within a window share the same key set1 which facilitate","swin, software, hardware, shift, transformer"
22,"Swin Transformer surpasses the previous state-of-the-art results by +2.7 box AP and +2.6 mask AP . On ADE20K semantic segmentation, it obtains 53.5 mIoU on the val set .","segmentation, image, imagenet-1k, semantic, classification"
23,Swin Transformer's strong performance on various vision problems can drive this belief deeper in the community . It is our belief that a unified architecture across computer vision and language processing could benefit both fields .,"swin, natural, language, vision, processing, transformer"
25,"CNN and variants CNNs serve as the standard network model throughout computer vision . Since then, deeper and more effective convolutional neural architectures have been proposed to further propel the deep learning wave .","variants, cnn"
28,"HRNet , and EfficientNet . In addition to these architectural advances, there has also been much work on improving individual convolution layers, such as depthwise convolution .","hrnet, vision, shift, cnn, computer"
29,Self-attention based backbone architectures Inspired by the success of self-attention layers and Transformer architectures in the NLP field . These works are computed within a local window of each pixel to expedite optimization . They achieve slightly better accuracy/FLOPs trade-offs than the counterpart ResNet architecture,"self-attention, layer, architecture, backbone"
30,Self-attention/Transformers to complement CNNs Another line of work is to augment a standard CNN architecture with self-attention layers or Transformers . Our work explores the adaptation of Transformers for basic visual feature extraction and is complementary to these works .,"self-attention, backbones, layer, cnn"
