element_idx,summarized_text,keywords
4,"Vision Transformers show superior performance with a more compact model size than conventional convolutional neural networks . This leads to a dramatic increase of computation and memory cost with the increase of sequence length, thus introducing difficulties when applying Transformers to vision tasks that require dense predictions based on high-resolution feature maps .","long-range, transformers, vision, dependencies, transformer"
5,"In this paper, we propose a new vision Transformer, called Glance-and-Gaze Transformer . It is motivated by the Glance and Gaze behavior of human beings . The Glance branch is achieved by performing self-attention on the adaptively-dilated partitions of the input .","natural, vision, gg-transformer, scenes, transformer"
7,Convolution Neural Networks have been dominating the field of computer vision . CNNs model images from a local-to-global perspective . They lack the ability to globally represent long-range dependencies .,"tasks, long-range, vision, dependencies, cnn, computer"
8,Transformers naturally learn global features in a parameter-free manner . This makes them stronger alternatives and raises questions about the necessity of CNNs in vision systems .,"system, transformer, vision, cnn"
11,"Self-attention operates on the whole sequences, incurs much more memory and computation costs than convolution, especially when it comes to natural images . For example, Pyramid Vision Transformer introduced a progressive shrinking pyramid to reduce the sequence length of the Transformer with the increase of network depth, and adopted spatial-reduction attention .","depth, network, swin-tranformer, pvt, swin-transformer"
12,"Spatial-reduction attention can reduce memory and computation costs to learn high-resolution feature maps . Adopting self-attention within local windows is efficient with linear complexity, but it sacrifices the most significant advantage of Transformers in modeling long-range dependencies.","feature, transformers, attention, high-resolution, maps, spatial-reduction"
13,Glance-and-Gaze Transformer consists of two parallel branches . A Glance branch performs self-attention within adaptively-dilated partitions of input images or feature maps . a merging operation finally re-arranges the points in each partition to their original locations .,"locality, convolutions, self-attention, gg-transformer, of"
15,"Convolution has been the basic unit in deep neural networks for computer vision problems . In addition to studying how to organize convolutional blocks into a network, several variants of the convolution layer have also been proposed . Representative works such as ASPP and PPM enhance CNNs with multi-scale context .","convolution, vision, self-attention, cnn, computer"
16,"ViT was proposed to adapt the Transformer for image recognition by tokenizing and flattening 2D images into sequence of tokens . Since then, many works have been done to improve Transformers, making them more suitable for vision tasks . Type I made efforts to improve ViT design itself .","vit, transformer, vision"
20,"using self-attention on high-resolution features is not affordable in terms of memory and computation cost . Later, Liu et al. proposed a new hierarchical Transformer architecture, named Swin-Transformer . To handle the expensive computation burden, they divided feature maps into several non-overlapped windows","spatial, reduction, attention, spatial-reduction, swin-transformer"
21,"Type I, II methods usually use a large patch size and thus incompatible to work with high-resolution feature map . Type III methods proposed new attention mechanism to handle the extreme memory and computation burden with long sequences . In contrast, GGTransformer proposes a more efficient Transformer block .","feature, mechanism, attention, high-resolution, gg-, transformer, map"
23,"The design of GG-Transformer draws inspiration from how human beings observe the world, which follows the Glance and Gaze mechanism . We note that these behaviors surprisingly match the property of self-attention and convolution, which models long-range dependencies and local context .","self-attention, gg-transformer, self, convolution"
31,"a 2D image is often first tokenized based on non-overlapping image patch grids . In MSA, the relationships between a token and all tokens are computed . Such designs incur a computation complexity quadratic to N:","token, image, patch, msa, grid"
32,"For ViTs that only work on 16x down-sampled feature maps, the computation cost is affordable, since in this scenario N = 14 x 14 = 196 . However, a more general vision scenario with the need of dense prediction based on high-resolution feature maps can easily lead to out-of","feature, imagenet, vision, high-resolution, maps, transformer"
34,"existing solutions often adapt Transformers to high-resolution feature maps by down-sampling the key and value during the attention process . For local-region based methods, though they still have a quadratic complexity and thus may not scale up to a larger input size .","feature, self-attention, attention, high-resolution, maps, limit, process"
37,"We propose Glance attention, which performs self-attention efficiently with a global receptive field . It shares same time complexity as , but directly models long-range dependencies . We name this operation Adaptively-dilated Splitting . For example, a partition contains M x M token","self-attention, dilation, adaptive, rate"
