element_idx,summarized_text,keywords
4,Abstract-Humans can naturally and effectively find salient regions in complex scenes . Attention mechanisms were introduced into computer vision to imitate this aspect of the human visual system . Such an attention mechanism can be regarded as a dynamic weight adjustment process based on features of the input image .,"system, adjustment, visual, mechanisms, weight, dynamic, attention"
8,"the human visual system uses one , , to assist in analyzing and understanding complex scenes efficiently and effectively . This in turn has inspired researchers to introduce attention mechanisms into computer vision systems to improve their performance . Attention mechanisms have provided benefits in very many visual tasks, e.g. image classification , object detection , semantic","task, visual, image, mechanisms, attention, processing, generation, classification"
9,"In the past decade, the attention mechanism has played an increasingly important role in computer vision . Progress can be coarsely divided into four phases . The first phase begins from RAM . It recurrently predicts the important region and updates the whole network in an end-to-end manner .","neural, mechanism, vision, learning, network, deep, attention, era, networks"
10,"J.J.Liu, P.T.Jiang and M.M. Cheng are with TKLNDST, College of Computer Science, Nankai University, Tianjin 300350, China . R.R.Martin was with Cardiff University, UK .","tsinghua, tklndst, tklnd, university"
13,"In this phase, recurrent neural networks were necessary tools for an attention mechanism . At the start of the second phase, Jaderberg et al. proposed the STN which introduces a subnetwork to predict an affine transformation used to select important regions in the input .","dc, dcns"
19,"Self-attention was first proposed in and rapidly provided great advances in the field of natural language processing . It was followed by a series of works such as EMANet , CCNet, HamNet and the Stand-Alone Network . Recently, various pure deep self-attention networks have appeared .","natural, language, self-attention, models, era, processing, attention-based"
24,"We divide existing attention methods into six categories which include four basic categories: channel attention, spatial attention , temporal attention and branch channel . These ideas are further briefly summarized together with related works in Tab. 2.","spatial, methods, temporal, attention, data, domain"
26,"a systematic review of visual attention methods, COVering the unified description of attention mechanisms . a categorisation grouping attention methods according to their data domain . suggestions for future research in visual attention .","methods, attention, visual"
29,"Chaudhari et al. provide a survey of attention models in deep neural networks which concentrates on their application to natural language processing, while our work focuses on computer vision . Three more specific surveys , , summarize the development of visual transformers while our paper reviews attention mechanisms in vision more generally .","visual, natural, language, methods, transformers, attention, processing"
32,Non-Local Network 2018-2020 2020-Now RAM Highway Network 2017.11.21 attention) attention method) computer vision) OCRNet and HamNet .,"highway, self-attention, network, ram, non-local"
34,"Phase 1 adopted RNNs to construct attention . Phase 2 explicitly predicted important regions, a representative method being STN . phase 4 implicitly completed the attention process .","representative, method, vision, self-attention, attention, computer"
39,"In this section, we first sum up a general form for the attention mechanism . Then we review various categories of attention models given in Fig. 1 . In each, we tabularize representative works for that category .","process, attention, recognition"
53,"Channel attention adaptively recalibrates the weight of each channel . In deep neural networks, different channels in different feature maps usually represent different objects .","channel, attention, maps, feature"
60,Global spatial information is collected in the squeeze module by global average pooling . The excitation module captures channel-wise relationships and outputs an attention vector by using fully-connected layers .,"vector, attention, excitation, squeeze, module"
61,"In the squeeze module, global average pooling is too simple to capture complex global information . In the excitation module, fully-connected layers increase the complexity of the model .","s, srm, excition"
65,a GSoP block also has a squeeze module and an excitation module . Each in the normalized covariance matrix explicitly relates channel i to channel j .,"excitation, squeeze, gsop, module, block"
71,Lee et al. proposed the lightweight style-based recalibration module . It uses mean and standard deviation of input features to improve its capability to capture global information .,"fully-connected, mechanism, channel-wise, lightweight, attention, layer, style, transfer"
72,"X E RCxHxW SRM first collects global information by using style pooling . Then a channel-wise fully connected layer, batch normalization BN and sigmoid function 0 are used to provide the attention vector . Overall, an SRM can be written as:","input, features, vector, srm, attention, pooling, style"
75,"Yang et al. proposes the gated channel transformation to model channel relationships . To overcome the above problems, using fully connected layers is an implicit procedure .","connected, fully, gct, layer, excitation, module"
76,"GCT first collects global information by computing the l2-norm of each channel . Next, a learnable vector a is applied to scale the feature . Then a competition mechanism is adopted by channel normalization to interact between channels .","bias, global, scale, learnable, in-formation, gct, 2, parameter"
83,"To avoid high model complexity, SENet reduces the number of channels . To overcome this drawback, Wang et al. proposed the efficient channel attention block .","correspondence, model, dimensionality, weight, vector, reduction, senet, complexity"
84,"An ECA block has similar formulation to an SE block . Instead of indirect correspondence, an ECA blocks only considers direct interaction between each channel and its k-nearest neighbors to control model complexity .","interaction, eca, cross-channel, efficient, excitation, module, block"
94,"input feature map X E RCxHxW CEM first . It sums the difference between the local descriptors in the input and the corresponding cluster centers using soft-assignment weights . Then, it applies aggregation to the K cluster centers instead of concatenation","map, input, feature, cem"
95,Qin et al. rethought global information captured from the viewpoint of compression . They analysed global average pooling in the frequency domain .,"multispectral, channel, global, average, attention, pooling"
111,bi-attention block uses bilinear pooling to model the local pairwise feature interactions along each channel . The model pays more attention to higher-order statistical information compared with other attention-based models .,"interactions, bilinear, feature, statistical, pooling, pairwise, information, local"
113,"Spatial attention can be seen as an adaptive spatial region selection mechanism: where to pay attention . RAM , STN , GENet and Non-Local are representative of different kinds of spatial attention methods . STN represents those that use a sub-network implicitly to predict a soft mask to","spatial, selection, adaptive, attention, region"
118,Mnih et al. proposed the recurrent attention model that adopts RNNs and reinforcement learning to make the network learn where to pay attention . RAM pioneered the use of RNN for visual attention and was followed by many other RNN-based methods .,"rnn, reinforcement, ram, learning"
119,The glimpse sensor takes a coordinate lt-1 and an image Xt . The RNN model considers 9t and an internal state ht-1 .,"softmax, glimpse, sensor, ram"
122,Ba et al. proposed a deep recurrent network capable of processing a multi-resolution crop of the input image . The network updates its hidden state using a glimpse as input . It then predicts a new object as well as the next glimpse location .,"network, visual, recognition"
