element_idx,summarized_text,keywords
1,Tom B. Brown* Benjamin Mann* Nick Ryder* Melanie Subbiah* Jared Kaplan T Prafulla Dhariwal Arvind Neelakantan Pranav Shyam Girish Sastry Amanda Askell Sandhini Agarwal Ariel Herbert- Voss Gretchen Krueger,"benjamin, mann"
3,"Specifically, we train GPT-3, an autoregressive language model with 175 billion parameters, 10x more than any previous non-sparse language model, and test its performance in the few-shot setting . This method still requires task-specific fine-tuning datasets of thousands or tens","text, large, fine-tuning, gpt-3, corpus, few-shot, of, task-specific"
8,"Introduction 3 2 Approach 6 2.1 Model and Architectures   8 2.2 Training Dataset  9 2.4 Training Process  10 3.1 Language Modeling, Cloze, and Completion Tasks 11 3.2 Closed Book Question Answering  13 3.3 Translation  14 3.4 Winograd","reasoning, glue, sense, common, crawl, filtering"
11,"Recent years have featured a trend towards pre-trained language representations in NLP systems, applied in increasingly flexible and task-agnostic ways . First, single-layer representations were learned using word vectors and fed to task-specific architectures . then RNNs with multiple layers of representations and contextual","systems, nlp, architectures, multiple, representations, layer, task-specific"
12,"this last paradigm has led to substantial progress on many challenging NLP tasks . a major limitation to this approach is that while the architecture is task-agnostic, there is still a need for task-specific datasets . Removing this limitation would be desirable for several reasons .","task-specific, fine-tuning, nlp, architecture, datasets"
13,There exists a very wide range of possible useful language tasks . For many of these tasks it is difficult to collect a large supervised training dataset .,"examples, labeled"
14,Models are designed to be large to absorb information during pre-training . but are then fine-tuned on very narrow task distributions . For example observe that larger models do not necessarily generalize better out-of-distribution .,"model, fine-tuning, narrowness, of, paradigm, the"
21,"this adaptability has practical advantages - it allows humans to seamlessly mix together or switch between many tasks and skills . To be broadly useful, we would someday like our NLP systems to have this same fluidity and generality.","task, new, competence, quality, adaptability, of"
22,"meta-learning means model develops broad set of skills and pattern recognition abilities at training time, and then uses those abilities at inference time to rapidly adapt to or recognize the desired task .","task, model, language, specification, meta-learning"
24,In recent years the capacity of transformer language models has increased substantially . Each increase has brought improvements in text synthesis and/or downstream NLP tasks . There is evidence suggesting that log loss follows a smooth trend of improvement with scale .,"language, modeling, loss, log"
25,"the method is ""zero-shot"" in the sense that no gradient updates are performed, but it often involves providing inference-time demonstrations to the model, so is not truly learning from zero examples . To avoid this confusion, we use the term ""meta-learning"" to capture the inner-loop / outer","inference, demonstrations, training, time, inference-time"
29,"In this paper, we test this hypothesis by training a 175 billion parameter autoregressive language model . For each task, we evaluate GPT-3 under 3 conditions: ""few-shot learning"" and ""zero-shot"" learning, where no demonstrations are allowed and only an instruction in natural language is given","training, in-context, gpt-3, learning, setting, abilities"
30,Figure 1.2 illustrates the conditions we study . Model performance improves with the addition of a natural language task description . Few-shot learning also improves dramatically with model size .,"task, natural, language, learning, few-shot, description"
31,"GPT-3 achieves 81.5 F1 on CoQA in the zero-shot setting, 84.0 F1 in CoQA and 85.0 F1 . GPT3 achieves 64.3% accuracy on TriviaQA . 68.0% in the one-shot set, and 71.2% in the few-shot","achieves, state-of-the-art, gpt-3"
32,"GPT-3 also displays one-shot and few-shot proficiency at tasks designed to test rapid adaption or on-the-fly reasoning . We also show that in the short-shot setting, GPT3 can generate synthetic news articles which human evaluators have difficulty distinguishing from human-generated articles .","reasoning, gpt-3, proficiency, rapid, setting, few-shot, adaption"
33,"We also find some tasks on which few-shot performance struggles, even at the scale of GPT-3 . This includes natural language inference tasks like the ANLI dataset, and some reading comprehension datasets like RACE or QuAC.","inference, modelling, language, gpt-3, learning, few-shot"
36,"We develop systematic tools to measure data contamination and quantify its distorting effects . Data contamination has a minimal effect on GPT-3's performance on most datasets, but we do identify a few datasets where it could be inflating results .","contamination, study, common, data, crawl, systematic"
37,"the gap between zero, one-, and few-shot performance often grows with model capacity, perhaps suggesting larger models are more proficient meta-learners .","few-shot, smooth, gpt-3, scaling"
39,"In Section 2, we describe our approach and methods for training GPT-3 and evaluating it . Section 3 presents results on the full range of tasks in the zero-, one- and few-shot settings. Section 6 discusses broader impacts. Section 7 reviews related work .","contamination, gpt-3, data, train-test, overlap"
41,"Our basic pre-training approach, including model, data, and training, is similar to the process described in . Our use of in-context learning is also similar to , but in this work we systematically explore different settings for learning within the context . We start this section by explicitly defining and contrasting the different settings","in-context, gpt-3, learning"
42,Fine-Tuning has been the most common approach in recent years . It involves updating weights of a pre-trained model by training on a supervised dataset . The main advantage of fine-tuning is strong performance on many benchmarks .,"task-agnostic, performance, gpt-3, fine-tuning"
43,Few-Shot is the term we will use in this work to refer to the setting where the model is given a few demonstrations of the task at inference time as conditioning . We typically set K in the range of 10 to 100 as this is how many examples can fit in the model's context window . The main,"specific, task, fs, data, few-shot"
44,"One-Shot is the same as few-shot except that only one demonstration is allowed . It most closely matches the way in which some tasks are communicated to humans . For example, when asking humans to generate a dataset on a human worker service, it is common to give one demonstration of the task .","few-shot, zero-shot"
